Gene ID (EcoCyc)	Gene locus ID	Gene name	RNA type	Category	Macklin et al. (2020)	Latest version (20220602)	Description	Belongs in metabolism	proposed category	reaction flux in sim?	enzyme present in sim?	general enzyme	Activity expected
EG50010	b0356	frmA	mRNA	Uncategorized	TRUE	TRUE							
G6208	b0355	frmB	mRNA	Metabolism	TRUE	TRUE							
G6209	b0357	frmR	mRNA	Transcription regulation	FALSE	FALSE							
EG10335	b0172	frr	mRNA	Translation	FALSE	FALSE							
EG11091	b0239	frsA	mRNA	Physical interaction regulation	FALSE	FALSE							
EG10336	b2167	fruA	mRNA	Metabolism	FALSE	TRUE	fructose transport (pts)	y					c
G7990	b2169	fruB	mRNA	Metabolism	FALSE	TRUE	fructose transport (pts)	y					c
EG10337	b2168	fruK	mRNA	Metabolism	FALSE	TRUE	fructose met	y					c
EG11273	b0079	fruL	phantom	Uncategorized	FALSE	FALSE							
EG11864	b3900	frvA	mRNA	Unknown function	FALSE	FALSE							
EG11863	b3899	frvB	mRNA	Unknown function	FALSE	FALSE							
EG11861	b3897	frvR	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG11862	b3898	frvX	mRNA	Unknown function	FALSE	FALSE							
EG11909	b3950	frwB	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG11908	b3949	frwC	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG11912	b3953	frwD	mRNA	Unclear/under-characterized	FALSE	FALSE							
G7246	b2383	fryA	mRNA	Unknown function	FALSE	FALSE							
G7250	b2387	fryB	mRNA	Unknown function	FALSE	FALSE							
G7249	b2386	fryC	mRNA	Unknown function	FALSE	FALSE							
G6428	b0825	fsaA	mRNA	Metabolism	FALSE	TRUE	fructose, unknown role	m					c
EG11905	b3946	fsaB	mRNA	Metabolism	FALSE	TRUE	fructose, unknown role	m					c
G6256	b0479	fsr	mRNA	Antibiotic resistance	FALSE	TRUE							
EG10921	b1905	ftnA	mRNA	Iron storage protein	FALSE	TRUE							
G7033	b1902	ftnB	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG12073	b2214	ftp	mRNA	Unclear/under-characterized	FALSE	TRUE							
EG10339	b0094	ftsA	mRNA	Cytokinesis	FALSE	FALSE							
G7424	b2748	ftsB	mRNA	Cytokinesis	FALSE	FALSE							
EG10340	b3463	ftsE	mRNA	Cytokinesis	FALSE	FALSE							
EG11506	b3178	ftsH	mRNA	Protein Decay	FALSE	TRUE							
EG10341	b0084	ftsI	mRNA	Metabolism	FALSE	TRUE	peptidoglycan syn, antibiotic target	n	Cell wall / antibiotics				y
G6464	b0890	ftsK	mRNA	Cytokinesis	FALSE	FALSE							
EG11086	b0083	ftsL	mRNA	Cytokinesis	FALSE	FALSE							
EG11529	b3933	ftsN	mRNA	Cytokinesis	FALSE	FALSE							
G0-17085	b4810	ftsO	miscRNA	Uncategorized	FALSE	FALSE							
EG11376	b3017	ftsP	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG10342	b0093	ftsQ	mRNA	Cytokinesis	FALSE	FALSE							
EG10344	b0089	ftsW	mRNA	Cytokinesis	TRUE	TRUE							
EG10345	b3462	ftsX	mRNA	Cytokinesis	FALSE	FALSE							
EG10346	b3464	ftsY	mRNA	Protein maturation translocation	FALSE	FALSE							
EG10347	b0095	ftsZ	mRNA	Cytokinesis	FALSE	FALSE							
EG10348	b2800	fucA	mRNA	Metabolism	TRUE	TRUE							
EG10349	b2802	fucI	mRNA	Metabolism	TRUE	TRUE							
EG10350	b2803	fucK	mRNA	Metabolism	TRUE	TRUE							
EG10351	b2799	fucO	mRNA	Metabolism	TRUE	TRUE							
EG10352	b2801	fucP	mRNA	Metabolism	TRUE	TRUE							
EG10353	b2805	fucR	mRNA	Transcription regulation	FALSE	FALSE							
EG10355	b2804	fucU	mRNA	Metabolism	TRUE	TRUE							
EG10356	b1612	fumA	mRNA	Metabolism	TRUE	TRUE							
EG10357	b4122	fumB	mRNA	Metabolism	TRUE	TRUE							
EG10358	b1611	fumC	mRNA	Metabolism	TRUE	TRUE							
G6903	b1675	fumD	mRNA	Unknown function	FALSE	TRUE							
EG11162	b2929	fumE	mRNA	Unknown function	FALSE	TRUE							
EG10359	b0683	fur	mRNA	Transcription regulation	FALSE	FALSE							
EG10360	b3340	fusA	mRNA	Translation	FALSE	FALSE							
G7832	b4140	fxsA	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG11329	b2661	gabD	mRNA	Metabolism	TRUE	TRUE							
EG11330	b2663	gabP	mRNA	Metabolism	TRUE	TRUE							
EG10361	b2662	gabT	mRNA	Metabolism	TRUE	TRUE							
EG50009	b3517	gadA	mRNA	Metabolism	TRUE	TRUE							
EG11490	b1493	gadB	mRNA	Metabolism	TRUE	TRUE							
G6786	b1492	gadC	mRNA	Metabolism	TRUE	TRUE							
EG11544	b3512	gadE	mRNA	Transcription regulation	FALSE	FALSE							
G0-16680	b4718	gadF	miscRNA	Uncategorized	FALSE	FALSE							
EG12242	b3515	gadW	mRNA	Transcription regulation	FALSE	FALSE							
EG12243	b3516	gadX	mRNA	Transcription regulation	FALSE	FALSE							
G0-8914	b4452	gadY	miscRNA	Uncategorized	FALSE	FALSE							
EG10362	b0759	galE	mRNA	Metabolism	TRUE	TRUE							
G7093	b2042	galF	mRNA	Metabolism	FALSE	FALSE							
EG10363	b0757	galK	mRNA	Metabolism	TRUE	TRUE							
EG11698	b0756	galM	mRNA	Metabolism	TRUE	TRUE							
EG12148	b2943	galP	mRNA	Metabolism	TRUE	TRUE							
EG10364	b2837	galR	mRNA	Transcription regulation	FALSE	FALSE							
EG10365	b2151	galS	mRNA	Transcription regulation	FALSE	FALSE							
EG10366	b0758	galT	mRNA	Metabolism	TRUE	TRUE							
EG11319	b1236	galU	mRNA	Metabolism	FALSE	TRUE	galactose deg, cell envelope biosyn	y					y
EG10367	b1779	gapA	mRNA	Metabolism	TRUE	TRUE							
G8205	b1416	gapC	pseudo	Uncategorized	FALSE	FALSE							
EG12522	b3128	garD	mRNA	Metabolism	FALSE	TRUE	galactarate metabolism	y					c
EG11175	b3124	garK	mRNA	Metabolism	TRUE	TRUE							
EG10016	b3126	garL	mRNA	Metabolism	TRUE	TRUE							
EG12760	b3127	garP	mRNA	Metabolism	FALSE	TRUE	galactarate metabolism	y					c
EG11176	b3125	garR	mRNA	Metabolism	TRUE	TRUE							
EG12414	b2094	gatA	mRNA	Uncategorized	FALSE	TRUE							
EG12415	b2093	gatB	mRNA	Uncategorized	FALSE	TRUE							
EG12416	b2092	gatC	pseudo	Uncategorized	FALSE	FALSE							
EG12417	b2091	gatD	mRNA	Uncategorized	FALSE	TRUE							
EG12162	b2090	gatR	pseudo	Uncategorized	FALSE	FALSE							
EG12419	b2096	gatY	mRNA	Uncategorized	TRUE	TRUE							
G7128	b2095	gatZ	mRNA	Metabolism	TRUE	TRUE							
EG10369	b0124	gcd	mRNA	Metabolism	FALSE	TRUE	unknown glucose-related function	m					n
EG11583	b0507	gcl	mRNA	Metabolism	TRUE	TRUE							
EG11795	b2808	gcvA	mRNA	Transcription regulation	FALSE	FALSE							
G0-8867	b4443	gcvB	miscRNA	Uncategorized	FALSE	FALSE							
EG10371	b2904	gcvH	mRNA	Metabolism	FALSE	FALSE							
EG11810	b2903	gcvP	mRNA	Metabolism	TRUE	TRUE							
EG11149	b2479	gcvR	mRNA	Transcription regulation	FALSE	FALSE							
EG11442	b2905	gcvT	mRNA	Metabolism	TRUE	TRUE							
EG10372	b1761	gdhA	mRNA	Metabolism	TRUE	TRUE							
EG11616	b4148	gdx	mRNA	Unclear/under-characterized	FALSE	TRUE							
G6508	b0987	gfcA	mRNA	Cell structure membrane	FALSE	FALSE							
G6507	b0986	gfcB	mRNA	Cell structure membrane	FALSE	FALSE							
G6506	b0985	gfcC	mRNA	Cell structure membrane	FALSE	FALSE							
G6505	b0984	gfcD	mRNA	Cell structure membrane	FALSE	FALSE							
G6504	b0983	gfcE	mRNA	Cell structure membrane	FALSE	FALSE							
EG10374	b3447	ggt	mRNA	Metabolism	FALSE	FALSE							
G7830	b4128	ghoS	mRNA	Unknown function	FALSE	FALSE							
G0-10472	b4559	ghoT	mRNA	Unknown function	FALSE	FALSE							
G6539	b1033	ghrA	mRNA	Metabolism	TRUE	TRUE							
EG12272	b3553	ghrB	mRNA	Metabolism	TRUE	TRUE							
EG11939	b4064	ghxP	mRNA	Unknown function	TRUE	TRUE							
G7503	b2885	ghxQ	mRNA	Uncategorized	TRUE	TRUE							
G7394	b2659	glaH	mRNA	Unknown function	FALSE	TRUE							
EG12386	b2664	glaR	mRNA	Transcription regulation	FALSE	FALSE							
G7542	b2975	glcA	mRNA	Metabolism	TRUE	TRUE							
EG20080	b2976	glcB	mRNA	Metabolism	FALSE	TRUE	glycol met, glyoxylate shuttle	y					c
G7546	b2980	glcC	mRNA	Transcription regulation	FALSE	FALSE							
G7545	b2979	glcD	mRNA	Metabolism	TRUE	TRUE							
G7544	b2978	glcE	mRNA	Unclear/under-characterized	TRUE	TRUE							
G0-8601	b2978	glcF	mRNA	Uncategorized	TRUE	TRUE							
G7543	b2977	glcG	mRNA	Unknown function	FALSE	FALSE							
EG11904	b3945	gldA	mRNA	Metabolism	TRUE	TRUE							
EG11981	b2036	glf	mRNA	Metabolism	TRUE	TRUE							
EG10377	b3429	glgA	mRNA	Metabolism	FALSE	FALSE	glycogen metabolism						
EG10378	b3432	glgB	mRNA	Metabolism	FALSE	FALSE	glycogen metabolism						
EG10379	b3430	glgC	mRNA	Metabolism	TRUE	TRUE							
EG10380	b3428	glgP	mRNA	Metabolism	FALSE	FALSE	glycogen metabolism						
EG11381	b3049	glgS	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG10381	b3431	glgX	mRNA	Metabolism	FALSE	FALSE							
EG12957	b2388	glk	mRNA	Uncategorized	TRUE	TRUE							
EG11553	b3176	glmM	mRNA	Metabolism	TRUE	TRUE							
EG10382	b3729	glmS	mRNA	Metabolism	TRUE	TRUE							
EG11198	b3730	glmU	mRNA	Metabolism	TRUE	TRUE							
G0-8910	b4441	glmY	miscRNA	Uncategorized	FALSE	FALSE							
G0-8873	b4456	glmZ	miscRNA	Uncategorized	FALSE	FALSE							
EG10383	b3870	glnA	mRNA	Metabolism	TRUE	TRUE							
EG10384	b2553	glnB	mRNA	Covalent modification regulation	FALSE	FALSE							
EG11411	b0167	glnD	mRNA	Covalent modification regulation	FALSE	TRUE							
EG11602	b3053	glnE	mRNA	Unclear/under-characterized	FALSE	TRUE							
EG10385	b3868	glnG	mRNA	Transcription regulation	FALSE	FALSE							
EG10386	b0811	glnH	mRNA	Metabolism	TRUE	TRUE							
EG12191	b0450	glnK	mRNA	Uncategorized	FALSE	FALSE							
EG10387	b3869	glnL	mRNA	Phosphorylation regulation	FALSE	FALSE							
EG10388	b0810	glnP	mRNA	Metabolism	TRUE	TRUE							
EG10389	b0809	glnQ	mRNA	Metabolism	TRUE	TRUE							
EG10390	b0680	glnS	mRNA	tRNA synthetase	TRUE	TRUE							
EG30028	b0670	glnU	tRNA	tRNA	FALSE	TRUE							
EG30029	b0665	glnV	tRNA	tRNA	FALSE	TRUE							
EG30030	b0668	glnW	tRNA	tRNA	FALSE	TRUE							
EG30031	b0664	glnX	tRNA	tRNA	FALSE	TRUE							
G6891	b1651	gloA	mRNA	Metabolism	TRUE	TRUE							
G6099	b0212	gloB	mRNA	Metabolism	TRUE	TRUE							
G6475	b0927	gloC	mRNA	Unknown function	TRUE	TRUE							
EG10391	b2241	glpA	mRNA	Metabolism	TRUE	TRUE							
EG10392	b2242	glpB	mRNA	Metabolism	TRUE	TRUE							
EG10393	b2243	glpC	mRNA	Metabolism	TRUE	TRUE							
EG10394	b3426	glpD	mRNA	Metabolism	TRUE	TRUE							
EG10395	b3425	glpE	mRNA	Metabolism	TRUE	TRUE							
EG10396	b3927	glpF	mRNA	Metabolism	TRUE	TRUE							
EG10397	b3424	glpG	mRNA	Protein Decay	FALSE	FALSE							
EG10398	b3926	glpK	mRNA	Metabolism	TRUE	TRUE							
EG10399	b2239	glpQ	mRNA	Metabolism	TRUE	TRUE							
EG10400	b3423	glpR	pseudo	Transcription regulation	FALSE	FALSE							
EG10401	b2240	glpT	mRNA	Metabolism	FALSE	TRUE	phosphate utilization, glycerol-phosphate uptake	y					c
EG11517	b3925	glpX	mRNA	Metabolism	TRUE	TRUE							
G7345	b2556	glrK	mRNA	Phosphorylation regulation	FALSE	FALSE							
EG11285	b2554	glrR	mRNA	Transcription regulation	FALSE	FALSE							
G6261	b0485	glsA	mRNA	Metabolism	TRUE	TRUE							
G6810	b1524	glsB	mRNA	Metabolism	TRUE	TRUE							
EG10402	b0720	gltA	mRNA	Metabolism	TRUE	TRUE							
EG10403	b3212	gltB	mRNA	Metabolism	TRUE	TRUE							
EG10404	b3213	gltD	mRNA	Metabolism	TRUE	TRUE							
EG11514	b3214	gltF	mRNA	Unknown function	FALSE	FALSE							
G6359	b0655	gltI	mRNA	Metabolism	TRUE	TRUE							
EG12661	b0654	gltJ	mRNA	Uncategorized	TRUE	TRUE							
EG12662	b0653	gltK	mRNA	Uncategorized	TRUE	TRUE							
EG12663	b0652	gltL	mRNA	Uncategorized	TRUE	TRUE							
EG10405	b4077	gltP	mRNA	Metabolism	TRUE	TRUE							
EG10406	b3653	gltS	mRNA	Metabolism	FALSE	TRUE	glutamate transport	y					c
EG30032	b3969	gltT	tRNA	tRNA	FALSE	TRUE							
EG30033	b3757	gltU	tRNA	tRNA	FALSE	TRUE							
EG30034	b4008	gltV	tRNA	tRNA	FALSE	TRUE							
EG30035	b2590	gltW	tRNA	tRNA	FALSE	TRUE							
EG10407	b2400	gltX	mRNA	tRNA synthetase	TRUE	TRUE							
EG11362	b0144	gluQ	mRNA	tRNA modification	FALSE	TRUE							
EG11709	b3682	glvB	mRNA	Uncategorized	FALSE	FALSE							
EG11710	b3683	glvC	mRNA	Uncategorized	FALSE	FALSE							
EG11708	b4556	glvG	pseudo	Uncategorized	FALSE	FALSE							
G6283	b0514	glxK	mRNA	Metabolism	TRUE	TRUE							
G6278	b0509	glxR	mRNA	Metabolism	TRUE	TRUE							
EG10408	b2551	glyA	mRNA	Metabolism	TRUE	TRUE							
EG10409	b3560	glyQ	mRNA	tRNA synthetase	TRUE	TRUE							
EG10410	b3559	glyS	mRNA	tRNA synthetase	TRUE	TRUE							
EG30036	b3978	glyT	tRNA	tRNA	FALSE	TRUE							
EG30037	b2864	glyU	tRNA	tRNA	FALSE	TRUE							
EG30038	b4163	glyV	tRNA	tRNA	FALSE	TRUE							
EG30039	b1911	glyW	tRNA	tRNA	FALSE	TRUE							
EG30040	b4164	glyX	tRNA	tRNA	FALSE	TRUE							
EG30041	b4165	glyY	tRNA	tRNA	FALSE	TRUE							
EG11787	b2053	gmd	mRNA	Metabolism	FALSE	TRUE	cell wall biosyn	y					y
G6106	b0222	gmhA	mRNA	Metabolism	TRUE	TRUE							
EG11736	b0200	gmhB	mRNA	Metabolism	TRUE	TRUE							
EG10965	b3648	gmk	mRNA	Metabolism	TRUE	TRUE							
EG11789	b2051	gmm	mRNA	Metabolism	FALSE	TRUE	cell wall biosyn	y					y
EG10411	b2029	gnd	mRNA	Metabolism	TRUE	TRUE							
G0-16693		gndA	mRNA	Uncategorized	FALSE	FALSE							
G0-9662	b4517	gnsA	mRNA	Unclear/under-characterized	FALSE	FALSE							
G6823	b1550	gnsB	mRNA	Metabolism	FALSE	FALSE							
EG12629	b3437	gntK	mRNA	Metabolism	TRUE	TRUE							
EG12563	b4321	gntP	mRNA	Metabolism	TRUE	TRUE							
EG12630	b3438	gntR	mRNA	Transcription regulation	FALSE	FALSE							
EG12380	b3415	gntT	mRNA	Metabolism	FALSE	TRUE	gluconate transport	y					c
EG12631	b3435	gntU	mRNA	Metabolism	FALSE	TRUE	gluconate transport	y					c
EG10412	b3500	gor	mRNA	Metabolism	TRUE	TRUE							
EG11871	b3385	gph	mRNA	Metabolism	FALSE	TRUE	dsb repair byproduct recovery	y					n
EG11699	b0755	gpmA	mRNA	Metabolism	TRUE	TRUE							
EG12296	b3612	gpmM	mRNA	Metabolism	TRUE	TRUE							
EG10413	b3779	gpp	mRNA	Metabolism	TRUE	TRUE							
G7558	b3001	gpr	mRNA	Metabolism	TRUE	TRUE							
EG20091	b3608	gpsA	mRNA	Metabolism	TRUE	TRUE							
EG10414	b0238	gpt	mRNA	Metabolism	TRUE	TRUE							
EG11784	b2579	grcA	mRNA	Metabolism	FALSE	FALSE							
EG10415	b3181	greA	mRNA	Transcription	FALSE	FALSE							
EG11578	b3406	greB	mRNA	Transcription	FALSE	FALSE							
EG10599	b4143	groL	mRNA	Stress response chaperone	FALSE	TRUE							
EG10600	b4142	groS	mRNA	Stress response chaperone	FALSE	TRUE							
EG10416	b2614	grpE	mRNA	Protein maturation chaperone	FALSE	FALSE							
EG10417	b0849	grxA	mRNA	Metabolism	FALSE	TRUE	disulfide reduction	n	Generic / Osmotic stress				y
EG12688	b1064	grxB	mRNA	Uncategorized	FALSE	TRUE							
EG12294	b3610	grxC	mRNA	Metabolism	FALSE	TRUE	mysterious disulfide reduction	n	Generic / Osmotic stress				y
EG12181	b1654	grxD	mRNA	Uncategorized	FALSE	FALSE							
EG10418	b2688	gshA	mRNA	Metabolism	TRUE	TRUE							
EG10419	b2947	gshB	mRNA	Metabolism	TRUE	TRUE							
G6429	b0829	gsiA	mRNA	Metabolism	TRUE	TRUE							
G6430	b0830	gsiB	mRNA	Metabolism	TRUE	TRUE							
G6431	b0831	gsiC	mRNA	Metabolism	TRUE	TRUE							
G6432	b0832	gsiD	mRNA	Metabolism	TRUE	TRUE							
EG11102	b0477	gsk	mRNA	Metabolism	TRUE	TRUE							
G7701	b3323	gspA	mRNA	Protein maturation translocation	FALSE	FALSE							
EG11263	b3322	gspB	mRNA	Replication Initiation	FALSE	FALSE							
G7702	b3324	gspC	mRNA	Unclear/under-characterized	FALSE	TRUE							
G7703	b3325	gspD	mRNA	Unclear/under-characterized	FALSE	TRUE							
G7704	b3326	gspE	mRNA	Protein maturation translocation	FALSE	TRUE							
G7705	b3327	gspF	mRNA	Unclear/under-characterized	FALSE	TRUE							
G7706	b3328	gspG	mRNA	Unclear/under-characterized	FALSE	TRUE							
G7707	b3329	gspH	mRNA	Unclear/under-characterized	FALSE	TRUE							
G7708	b3330	gspI	mRNA	Protein maturation translocation	FALSE	TRUE							
G7709	b3331	gspJ	mRNA	Protein maturation translocation	FALSE	TRUE							
G7710	b3332	gspK	mRNA	Protein maturation translocation	FALSE	TRUE							
G7711	b3333	gspL	mRNA	Unclear/under-characterized	FALSE	TRUE							
EG12173	b3334	gspM	mRNA	Unclear/under-characterized	FALSE	TRUE							
EG11359	b3335	gspO	mRNA	Protein maturation peptidase	FALSE	TRUE							
EG12882	b2988	gss	mRNA	Metabolism	TRUE	TRUE							
G6878	b1635	gstA	mRNA	Metabolism	FALSE	FALSE							
G6438	b0838	gstB	mRNA	Metabolism	FALSE	FALSE							
EG10420	b2507	guaA	mRNA	Metabolism	TRUE	TRUE							
EG10421	b2508	guaB	mRNA	Metabolism	TRUE	TRUE							
EG10422	b0104	guaC	mRNA	Metabolism	TRUE	TRUE							
G7502	b2883	guaD	mRNA	Metabolism	TRUE	TRUE							
G7445	b2787	gudD	mRNA	Metabolism	FALSE	TRUE	putative sugar transport	y					c
G7447	b2789	gudP	mRNA	Metabolism	FALSE	TRUE	putative sugar transport	y					c
G7446	b2788	gudX	mRNA	Metabolism	FALSE	FALSE							
EG10972	b2706	gutM	mRNA	Transcription regulation	FALSE	FALSE							
EG10973	b2708	gutQ	mRNA	Metabolism	TRUE	TRUE							
EG10423	b2231	gyrA	mRNA	Supercoiling	FALSE	FALSE							
EG10424	b3699	gyrB	mRNA	Supercoiling	FALSE	FALSE							
G7335	b2541	hcaB	mRNA	Metabolism	FALSE	TRUE	3-phenylpropanoate metabolism	y					c
G7334	b2540	hcaC	mRNA	Metabolism	FALSE	TRUE	3-phenylpropanoate metabolism	y					c
G7336	b2542	hcaD	mRNA	Metabolism	FALSE	TRUE	3-phenylpropanoate metabolism	y					c
M009	b2538	hcaE	mRNA	Metabolism	FALSE	TRUE	3-phenylpropanoate metabolism	y					c
M015	b2539	hcaF	mRNA	Metabolism	FALSE	TRUE	3-phenylpropanoate metabolism	y					c
G7331	b2537	hcaR	mRNA	Transcription regulation	FALSE	FALSE							
G7330	b2536	hcaT	mRNA	Metabolism	FALSE	TRUE	3-phenylpropanoate metabolism	y					c
G7055	b1967	hchA	mRNA	Stress response chaperone	TRUE	TRUE							
G6457	b0873	hcp	mRNA	Metabolism	FALSE	TRUE	nitric oxide toxicity (pathogen resistance?)	y					n
G6456	b0872	hcr	mRNA	Metabolism	FALSE	TRUE	nitric oxide toxicity (pathogen resistance?)	y					n
EG12692	b0599	hcxA	mRNA	Uncategorized	FALSE	FALSE							
EG11581	b0801	hcxB	mRNA	Unknown function	FALSE	TRUE							
G7313	b2496	hda	mRNA	Replication	FALSE	FALSE							
EG11398	b3510	hdeA	mRNA	Stress response chaperone	FALSE	FALSE							
EG11399	b3509	hdeB	mRNA	Stress response chaperone	FALSE	FALSE							
EG11495	b3511	hdeD	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG11449	b3762	hdfR	mRNA	Transcription regulation	FALSE	FALSE							
EG10425	b1619	hdhA	mRNA	Metabolism	TRUE	TRUE							
EG10426	b0962	helD	mRNA	Recombination	FALSE	FALSE							
EG10427	b1210	hemA	mRNA	Metabolism	TRUE	TRUE							
EG10428	b0369	hemB	mRNA	Metabolism	TRUE	TRUE							
EG10429	b3805	hemC	mRNA	Metabolism	TRUE	TRUE							
EG10430	b3804	hemD	mRNA	Metabolism	TRUE	TRUE							
EG11543	b3997	hemE	mRNA	Metabolism	TRUE	TRUE							
EG12189	b2436	hemF	mRNA	Metabolism	TRUE	TRUE							
EG11485	b3850	hemG	mRNA	Metabolism	TRUE	TRUE							
EG10431	b0475	hemH	mRNA	Metabolism	FALSE	TRUE	heme biosynthesis	y					y
EG10432	b0154	hemL	mRNA	Metabolism	TRUE	TRUE							
EG11836	b3867	hemN	mRNA	Metabolism	TRUE	TRUE							
G7531	b2955	hemW	mRNA	Unknown function	FALSE	FALSE							
EG10433	b3803	hemX	mRNA	Metabolism	FALSE	FALSE							
EG10434	b3802	hemY	mRNA	Unknown function	FALSE	FALSE							
EG10435	b4175	hflC	mRNA	Physical interaction regulation	FALSE	TRUE							
EG11345	b1132	hflD	mRNA	Phage interaction	FALSE	FALSE							
EG10436	b4174	hflK	mRNA	Physical interaction regulation	FALSE	TRUE							
EG10437	b4173	hflX	mRNA	Unknown function	FALSE	TRUE							
EG10438	b4172	hfq	mRNA	Post-transcription regulation	FALSE	FALSE							
EG10439	b0460	hha	mRNA	Supercoiling	FALSE	FALSE							
G0-10451	b4532	hicA	mRNA	Toxin/antitoxin	FALSE	FALSE							
G6749	b1438	hicB	mRNA	Toxin/antitoxin	FALSE	FALSE							
G7601	b3082	higA	mRNA	Toxin/antitoxin	FALSE	FALSE							
G7602	b3083	higB	mRNA	Toxin/antitoxin	FALSE	FALSE							
EG12172	b1103	hinT	mRNA	Uncategorized	FALSE	TRUE							
EG10443	b1507	hipA	mRNA	Toxin/antitoxin	FALSE	TRUE							
EG10442	b1508	hipB	mRNA	Toxin/antitoxin	FALSE	TRUE							
EG10444	b2024	hisA	mRNA	Metabolism	TRUE	TRUE							
EG10445	b2022	hisB	mRNA	Metabolism	TRUE	TRUE							
EG10446	b2021	hisC	mRNA	Metabolism	TRUE	TRUE							
EG10447	b2020	hisD	mRNA	Metabolism	TRUE	TRUE							
EG10448	b2025	hisF	mRNA	Metabolism	TRUE	TRUE							
EG10449	b2019	hisG	mRNA	Metabolism	TRUE	TRUE							
EG10450	b2023	hisH	mRNA	Metabolism	TRUE	TRUE							
EG10451	b2026	hisI	mRNA	Metabolism	TRUE	TRUE							
EG12124	b2309	hisJ	mRNA	Metabolism	TRUE	TRUE							
EG11269	b2018	hisL	mRNA	Transcription regulation	FALSE	FALSE							
EG10007	b2307	hisM	mRNA	Metabolism	TRUE	TRUE							
EG10452	b2306	hisP	mRNA	Metabolism	TRUE	TRUE							
EG12125	b2308	hisQ	mRNA	Metabolism	TRUE	TRUE							
EG30042	b3797	hisR	tRNA	tRNA	FALSE	TRUE							
EG10453	b2514	hisS	mRNA	tRNA synthetase	TRUE	TRUE							
G7058	b1970	hiuH	mRNA	Unknown function	FALSE	TRUE							
G7590	b3052	hldE	mRNA	Metabolism	TRUE	TRUE							
G6619	b1182	hlyE	mRNA	Pathogenicity	FALSE	FALSE							
EG10456	b2552	hmp	mRNA	Metabolism	FALSE	TRUE	nitric oxide toxicity (pathogen resistance?)	y					n
EG10457	b1237	hns	mRNA	Chromosome condensation	TRUE	TRUE							
EG12106	b0107	hofB	mRNA	Uncategorized	FALSE	FALSE							
EG11798	b0106	hofC	mRNA	Unknown function	FALSE	FALSE							
G7739	b3395	hofM	mRNA	Unclear/under-characterized	FALSE	FALSE							
G7738	b3394	hofN	mRNA	Unclear/under-characterized	FALSE	FALSE							
G7737	b3393	hofO	mRNA	Unclear/under-characterized	FALSE	FALSE							
G7736	b3392	hofP	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG12113	b3391	hofQ	mRNA	Unclear/under-characterized	FALSE	FALSE							
G0-9613	b4455	hokA	mRNA	Toxin/antitoxin	FALSE	FALSE							
G0-9610	b4428	hokB	mRNA	Toxin/antitoxin	FALSE	FALSE							
G0-9563	b4412	hokC	mRNA	Toxin/antitoxin	FALSE	FALSE							
EG11130	b1562	hokD	mRNA	Toxin/antitoxin	FALSE	FALSE							
G0-9582	b4415	hokE	mRNA	Toxin/antitoxin	FALSE	FALSE							
EG11412	b0640	holA	mRNA	Replication	FALSE	FALSE							
EG11500	b1099	holB	mRNA	Replication	FALSE	FALSE							
EG11413	b4259	holC	mRNA	Replication	FALSE	FALSE							
EG11414	b4372	holD	mRNA	Replication	FALSE	FALSE							
EG11505	b1842	holE	mRNA	Replication	FALSE	FALSE							
EG11681	b3203	hpf	mRNA	Stress response	FALSE	FALSE							
G7057	b1969	hprR	mRNA	Unknown function	FALSE	FALSE							
G7056	b1968	hprS	mRNA	Unknown function	FALSE	FALSE							
EG20098	b0125	hpt	mRNA	Uncategorized	TRUE	TRUE							
G6732	b1413	hrpA	mRNA	Post-Transcription regulation	FALSE	FALSE							
EG12329	b0148	hrpB	mRNA	Uncategorized	FALSE	FALSE							
EG12130	b2526	hscA	mRNA	Protein maturation chaperone	FALSE	TRUE							
EG12131	b2527	hscB	mRNA	Protein maturation chaperone	FALSE	FALSE							
G6357	b0650	hscC	mRNA	Metabolism	FALSE	FALSE							
EG10458	b4349	hsdM	mRNA	Restriction-modification system	FALSE	FALSE							
EG10459	b4350	hsdR	mRNA	Restriction-modification system	FALSE	FALSE							
EG10460	b4348	hsdS	mRNA	Restriction-modification system	FALSE	FALSE							
G6702	b1379	hslJ	mRNA	Antibiotic resistance	FALSE	FALSE							
G7744	b3401	hslO	mRNA	Stress response chaperone	FALSE	FALSE							
G7743	b3400	hslR	mRNA	Stress response	FALSE	FALSE							
EG11881	b3931	hslU	mRNA	Protein Decay	FALSE	TRUE							
EG11676	b3932	hslV	mRNA	Protein Decay	FALSE	TRUE							
G6500	b0966	hspQ	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG11732	b3754	hsrA	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG10461	b0473	htpG	mRNA	Stress response chaperone	FALSE	TRUE							
EG10462	b1829	htpX	mRNA	Stress response	FALSE	FALSE							
EG11972	b0139	htrE	mRNA	Uncategorized	FALSE	FALSE							
