Promoter Name	Absolute-Plus-1-Position	Component-Of	Regulated-By
PM0-1721	4591633	COLI-K12-93 // TU0-1541	
PM0-44619	800694	COLI-K12-16	
PM0-10418	4605777	COLI-K12-94 // TU0-8630	REG0-12899 // REG0-10789 // REG0-10788
PM0-3622	493709	COLI-K12-10 // TU0-3422	
PM0-46081	4559537	COLI-K12-93	
PM0-46078	4524226	COLI-K12-92	
PM00136	4414247	COLI-K12-90 // TU00095	REG0-10863 // REG0-5484 // REG0-5483
PM0-46190	4019978	COLI-K12-82 // TU0-42484	REG0-13456
PM0-45149	1979619	COLI-K12-40	
PM0-6601	833073	COLI-K12-17 // TU0-6301	REG0-6158
PM0-44721	1097824	COLI-K12-22	
PM0-45452	2799070	COLI-K12-57	
PM0-44345	35440	COLI-K12-0	
PM0-45566	3132523	COLI-K12-64	
PM0-45514	2993581	COLI-K12-61	
PM0-44827	1293493	COLI-K12-26	
PM0-45881	3836744	COLI-K12-78	
PM0-45415	2722578	COLI-K12-55	
PM0-4742	4313137	COLI-K12-88 // TU0-4502	REG0-6277
PM0-10364	117705	COLI-K12-2 // TU0-12811	REG0-10382
PM0-9299	3982781	COLI-K12-81 // TU0-8863	REG0-10917 // REG0-6615
PM0-45067	1833217	COLI-K12-37	
PM0-45911	4002875	COLI-K12-81	
PM0-44626	832960	COLI-K12-17	
PM0-4435	3296349	COLI-K12-67 // TU0-6361	
PM0-10027	1289177	TU0-55017 // COLI-K12-26	
PM0-5	3101640	COLI-K12-63 // TU0-4	
PM0-5121	3578749	COLI-K12-73	
PM0-44471	405698	COLI-K12-8	
PM00024	4616679	COLI-K12-94 // TU00017	REG0-4808 // REG0-4807 // REG0-4806
PM0-44444	321484	COLI-K12-6	
PM0-9521	401319	COLI-K12-8 // TU0-12913	REG0-12767 // REG0-11149 // REG0-9431
PM0-46375	2710165	COLI-K12-55 // TU0-42642	
PM0-44589	718344	COLI-K12-14	
PM00238	4118161	COLI-K12-84 // TU00173	REG0-5762 // REG0-5761 // REG0-5760 // REG0-5759 // REG0-5758 // REG0-5757 // REG0-5756 // REG0-5755
PM0-45973	4150311	COLI-K12-84	
PM0-10162	4004724	COLI-K12-81 // TU0-14045	
PM0-45177	2043618	COLI-K12-41	
PM0-45197	2098475	COLI-K12-42	
PM0-45406	2674795	COLI-K12-54	
PM00200	2479121	COLI-K12-50 // TU00375	REG0-5822 // REG0-5821
PM0-45521	3009919	COLI-K12-61	
PM00011	785591	COLI-K12-16 // TU00009	REG0-4787 // REG0-4786
PM00513	3793865	COLI-K12-77 // TU00329	
PM0-45627	3236462	COLI-K12-66	
PM00159	4361963	COLI-K12-89 // TU00118	REG0-13110 // REG0-10925 // REG0-10853 // REG0-9419 // REG0-5437 // REG0-5436
PM0-9591	77367	COLI-K12-1 // TU0-12806	REG0-10888 // REG0-5823
PM0-10036	1398659	COLI-K12-28 // TU0-13221	REG0-12940 // REG0-10714
PM0-3681	2456999	COLI-K12-50 // TU0-3481	
PM0-5042	3906697	COLI-K12-79 // TU0-42515 // TU0-4802	REG0-11479 // REG0-9471 // REG0-9421 // REG0-9418 // REG0-6253 // REG0-6252 // REG0-6251 // REG0-6250
PM0-10145	3522826	COLI-K12-72 // TU0-8822	
PM0-45274	2282437	COLI-K12-46	
PM0-45267	2267742	COLI-K12-46	
PM0-45440	2758928	COLI-K12-56	
PM0-44565	665222	COLI-K12-13	
PM0-9355	2914277	COLI-K12-59 // TU0-14269	REG0-11652 // REG0-4604 // REG0-4603
PM0-45492	2971247	COLI-K12-60	
PM0-45755	3529733	COLI-K12-72	
PM0-46200	3712043	COLI-K12-75 // TU0-42492	REG0-11657 // REG0-11656
PM0-5301	4214159	COLI-K12-86 // TU0-5061	
PM0-44756	1175399	COLI-K12-24	
PM00125	1989645	COLI-K12-40 // TU00088	REG0-5468 // REG0-5467 // REG0-5466 // REG0-5465 // REG0-5464
PM0-46073	4518379	COLI-K12-92	
PM407	3811995	COLI-K12-78 // TU0-5543 // TU00339	REG0-12551
PM00559	4540809	COLI-K12-92 // TU00409	REG0-5102
PM00179	4016391	COLI-K12-82 // TU00134	REG0-10536 // REG0-10529 // REG0-10528 // REG0-5578 // REG0-5577 // REG0-5576
PM00565	3477499	COLI-K12-71 // TU0-1064	
PM0-10008	983023	COLI-K12-20 // TU0-13091	
PM0-44582	683594	COLI-K12-13	
PM00119	260158	COLI-K12-5 // TU00086	REG0-5461 // REG0-5460 // REG0-5459
PM00555	156214	COLI-K12-3 // TU00404	REG0-5305
PM0-45676	3327102	COLI-K12-68	
PM0-46062	4501058	COLI-K12-92	
PM0-44955	1555727	COLI-K12-31	
PM0-45170	2038202	COLI-K12-41	
PM0-46561	3219458	TU0-45258 // COLI-K12-65	REG0-15180 // REG0-15179 // REG0-15178 // REG0-15177 // REG0-15176
PM0-45628	3238555	COLI-K12-66	
PM0-45644	3254291	COLI-K12-66	
PM0-45358	2518279	COLI-K12-51	
PM0-44551	644180	COLI-K12-13	
PM0-45717	3412497	COLI-K12-69	
PM0-45396	2647368	COLI-K12-54	
PM-8790	1966216	COLI-K12-40 // TU-8405	REG0-6556
PM0-45411	2705464	COLI-K12-55	
PM0-45474	2905666	COLI-K12-59	
PM1030	426055	COLI-K12-8 // TU870	
PM442	961165	COLI-K12-19 // TU361	
PM0-10191	4449686	COLI-K12-91 // TU0-8492	
PM0-44540	607561	COLI-K12-12	
PM0-44621	808035	COLI-K12-16	
PM0-45308	2385905	COLI-K12-48	
PM00443	3448222	COLI-K12-70 // TU00337	REG0-11144
PM0-44689	1015503	COLI-K12-20	
PM0-46516	3601003	COLI-K12-73 // TU0-45218	REG0-14977
PM0-46568	1743375	COLI-K12-35	
PM0-44885	1420343	COLI-K12-29	
PM0-10558	2908152	COLI-K12-59 // TU0-14821	
PM0-44720	1095759	COLI-K12-22	
PM0-10067	1950701	COLI-K12-39 // TU0-14634	
PM0-45483	2943263	COLI-K12-60	
PM0-9967	240216	COLI-K12-4 // TU0-8545	
PM0-7681	3059353	COLI-K12-62 // TU0-7341	
PM0-46065	4504005	COLI-K12-92	
PM0-7961	65803	COLI-K12-1 // TU0-7581	REG0-6076
PM00046	4257087	COLI-K12-87 // TU00037	REG0-4726 // REG0-4725
PM0-45730	3439168	COLI-K12-70	
PM0-46557	142703	TU0-45255 // COLI-K12-2	
PM0-45508	2988423	COLI-K12-61	
PM0-45207	2109676	COLI-K12-43	
PM0-45671	3301437	COLI-K12-67	
PM00299	4466210	COLI-K12-91 // TU00213	REG0-5984 // REG0-5983 // REG0-5982 // REG0-5981 // REG0-5980
PM00415	2685797	COLI-K12-54 // TU681	REG0-12920 // REG0-10483 // REG0-10482 // REG0-9059 // REG0-9058 // REG0-4851 // REG0-4850
PM0-9394	480794	COLI-K12-9 // TU0-12943	REG0-11580 // REG0-9239 // REG0-4610
PM0-45966	4136089	COLI-K12-84	
PM0-46121	1362728	COLI-K12-27 // TU0-13211	
PM0-44974	1621264	COLI-K12-33	
PM0-9561	3990774	COLI-K12-81 // TU0-14403	
PM0-46023	4379474	COLI-K12-89	
PM0-46116	4640898	COLI-K12-94	
PM0-45611	3204648	COLI-K12-65	
PM0-44714	1082243	COLI-K12-22	
PM0-46177	84154	COLI-K12-1 // TU0-42475	REG0-12722
PM00345	700352	COLI-K12-14 // TU0-6652	
PM0-44487	476422	COLI-K12-9	
PM0-10544	2884319	COLI-K12-59 // TU0-13725	REG0-13534 // REG0-12661 // REG0-12036 // REG0-11478 // REG0-11477 // REG0-10827 // REG0-10826 // REG0-10735
PM0-44430	311432	COLI-K12-6	
PM0-9737	2765906	COLI-K12-56 // TU0-14484	
PM0-45158	1996897	COLI-K12-40 // TU0-41901	
PM0-44438	320215	COLI-K12-6 // TU0-12885	REG0-11961
PM00103	3100751	COLI-K12-63 // TU00075	REG0-5555 // REG0-5554
PM0-45873	3821256	COLI-K12-78	
PM0-46571	3667607	COLI-K12-75 // TU0-45268	REG0-15219 // REG0-15218 // REG0-15217 // REG0-15216 // REG0-15215 // REG0-15214 // REG0-15213 // REG0-15212 // REG0-15211 // REG0-15210 // REG0-15209 // REG0-15208 // REG0-15207 // REG0-15206 // REG0-15205 // REG0-15204 // REG0-15203 // REG0-15202 // REG0-15201 // REG0-15200 // REG0-15199 // REG0-15198 // REG0-15197 // REG0-15196 // REG0-15195 // REG0-15194 // REG0-15193 // REG0-15192
PM0-45263	2265420	COLI-K12-46	
PM0-45801	3619003	COLI-K12-74	
PM0-45020	1725648	COLI-K12-35	
PM00273	2710357	COLI-K12-55 // TU00194	REG0-5724
PM0-45770	3580859	COLI-K12-73	
PM0-45821	3696367	COLI-K12-75	
PM0-44380	193411	COLI-K12-3	
PM0-44809	1244579	COLI-K12-25	
PM0-44814	1256111	COLI-K12-25	
PM0-46018	4374403	COLI-K12-89	
PM0-45998	4283106	COLI-K12-87	
PM0-46520	122034	TU0-45222 // COLI-K12-2	REG0-14992 // REG0-14991 // REG0-14990 // REG0-14989 // REG0-14988 // REG0-14987 // REG0-14986 // REG0-14985 // REG0-14984 // REG0-14983 // REG0-14982 // REG0-14981
PM00359	1079185	COLI-K12-22 // TU121	
PM0-45538	3086182	COLI-K12-63	
PM0-45637	3252263	COLI-K12-66	
PM0-1981	1368038	COLI-K12-27 // TU00326	REG0-6395 // REG0-6394 // REG0-6393
PM0-45983	4222691	COLI-K12-86	
PM0-45011	1704399	COLI-K12-34	
PM0-45399	2659962	COLI-K12-54	
PM0-46067	4503882	COLI-K12-92	
PM0-9396	1170417	COLI-K12-23 // TU0-13138	REG0-4614
PM00324	122034	COLI-K12-2 // TU00522	REG0-13462 // REG0-13461 // REG0-10889 // REG0-8987 // REG0-5145 // REG0-5144 // REG0-5143 // REG0-5142 // REG0-5141 // REG0-5140 // REG0-5139 // REG0-5138
PM0-45095	1881712	COLI-K12-38	
PM0-45085	1875463	COLI-K12-38	
PM0-44711	1056222	COLI-K12-21	
PM0-10156	3931128	COLI-K12-80 // TU0-14031	REG0-12653 // REG0-12652
PM0-10021	1212090	COLI-K12-24 // TU0-13156	REG0-10806 // REG0-10805 // REG0-10397 // REG0-10396 // REG0-10395
PM0-10125	3156571	COLI-K12-64 // TU0-13824	
PM0-46044	4458015	COLI-K12-91	
PM0-10442	229098	COLI-K12-4 // TU0-12839	REG0-10517 // REG0-10516
PM0-44659	916133	COLI-K12-18	
PM0-46533	787670	COLI-K12-16 // TU0-45233	
PM0-46570	3882590	COLI-K12-79 // TU0-45267	
PM0-45374	2561993	COLI-K12-52	
PM0-45552	3109521	COLI-K12-63	
PM0-45838	3720594	COLI-K12-76	
PM0-10209	149630	COLI-K12-3 // TU00313	
PM0-45070	1845011	COLI-K12-37	
PM0-45372	2558693	COLI-K12-52	
PM0-44931	1511515	COLI-K12-30	
PM0-45830	3716486	COLI-K12-76	
PM0-46538	2791172	COLI-K12-57 // TU0-45238	REG0-15082
PM0-36133	3155302	COLI-K12-64 // TU0-13823	REG0-10776 // REG0-10775
PM0-9301	1717269	COLI-K12-35 // TU0-8865	
PM0-46588	458815	TU0-45285 // COLI-K12-9	REG0-15291
PM0-10441	375386	COLI-K12-7 // TU0-12900	REG0-10519
PM0-8164	1682138	COLI-K12-34 // TU0-7784	REG0-6089
PM0-10096	2616026	COLI-K12-53 // TU0-14645	
PM00171	3222551	COLI-K12-65 // TU00127	REG0-5815 // REG0-5814
PM00109	4031013	COLI-K12-82 // TU00215	REG0-15777 // REG0-9312 // REG0-4468 // REG0-4467
PM0-46175	2053566	COLI-K12-42 // TU0-42474	
PM0-45146	1979598	COLI-K12-40	
PM501	2524910	COLI-K12-51 // TU301	REG0-5107 // REG0-5106
PM00274	990414	COLI-K12-20 // TU00195	REG0-5727 // REG0-5726 // REG0-5725
PM191		TU00362	
PM0-9650	2928035	COLI-K12-59	
PM0-8705	485699	COLI-K12-9 // TU0-8325	REG0-6575
PM0-36161	2214840	COLI-K12-45 // TU0-13527	REG0-11487
PM00146	1688440	COLI-K12-34 // TU0-42499 // TU00104	REG0-11603 // REG0-11587 // REG0-11586 // REG0-11585 // REG0-5868 // REG0-5867 // REG0-5866
PM0-44794	1217307	COLI-K12-24	
PM00256	3599762	COLI-K12-73 // TU00183	REG0-11154 // REG0-11121 // REG0-5252
PM0-46156	853064	COLI-K12-17 // TU0-42460	REG0-11240 // REG0-11239
PM0-9620	2185827	COLI-K12-44 // TU0-13514	REG0-11522 // REG0-11521 // REG0-8961 // REG0-8960 // REG0-8959
PM0-45884	3843880	COLI-K12-78	
PM0-46453	3168397	COLI-K12-64 // TU0-45153	
PM0-45153	1987802	COLI-K12-40	
PM0-44765	1189940	COLI-K12-24 // TU0-41681	REG0-11744
PM206	1078925	COLI-K12-22 // TU355	REG0-11581 // REG0-10267 // REG0-10266 // REG0-5101 // REG0-5100
PM0-4702		TU0-4462	REG0-6273
PM0-45331	2444251	COLI-K12-50	
PM0-45362	2518375	COLI-K12-51	
PM0-10178	4265589	COLI-K12-87 // TU0-14120	
PM0-45564	3132449	COLI-K12-64	
PM00231	2240566	COLI-K12-45 // TU00168	REG0-5390 // REG0-5389 // REG0-5388 // REG0-5387
PM0-45105	1907509	COLI-K12-39	
PM0-44969	1614780	COLI-K12-33	
PM0-8603	4012855	COLI-K12-82 // TU0-8223	REG0-12896 // REG0-11336 // REG0-6061 // REG0-6060 // REG0-6059
PM00268	2685574	COLI-K12-54 // TU00192	REG0-11347 // REG0-5930 // REG0-5929 // REG0-5928
PM0-44354	118681	COLI-K12-2	
PM0-45732	3475109	COLI-K12-71	
PM0-45269	2278353	COLI-K12-46	
PM0-45947	4073661	COLI-K12-83	
PM0-9371	3433650	COLI-K12-70 // TU00258	
PM0-44667	947145	COLI-K12-19	
PM0-45253	2243888	COLI-K12-45	
PM0-4785	792177	COLI-K12-16 // TU0-4545	
PM0-9248	850419	COLI-K12-17 // TU0-8812	REG0-6609
PM0-44356	131466	COLI-K12-2	
PM0-10201	903815	COLI-K12-18 // TU0-14676	
PM00307	1896809	COLI-K12-38 // TU00223	REG0-5563
PM0-45519	3006118	COLI-K12-61	
PM0-44698	1044303	COLI-K12-21	
PM0-45894	3896657	COLI-K12-79	
PM00199	2513009	COLI-K12-51 // TU00147	REG0-5820 // REG0-5819 // REG0-5818 // REG0-5817
PM0-10038	1435641	COLI-K12-29 // TU0-13239	
PM0-45596	3172506	COLI-K12-64	
PM00135	2309445	COLI-K12-47 // TU00073	
PM0-45719	3413487	COLI-K12-69	
PM0-46414	3272820	COLI-K12-66 // TU0-42699	
PM0-9308	403687	COLI-K12-8 // TU0-8872	REG0-6614 // REG0-6613
PM0-44587	690984	COLI-K12-14	
PM0-9794		TU0-14514	
PM0-10028	1310892	COLI-K12-26 // TU0-13188	
PM0-45555	3111307	COLI-K12-63	
PM0-44622	807930	COLI-K12-16	
PM00316	12048	COLI-K12-0 // TU00260	
PM0-9829		TU0-14546	
PM0-46562	1011666	TU0-45259 // COLI-K12-20	REG0-15182 // REG0-15181
PM0-44416	285207	COLI-K12-5	
PM0-45074	1853983	COLI-K12-37	
PM0-9751		TU0-13525	
PM0-8381	846631	COLI-K12-17 // TU0-8001	REG0-6072
PM0-9982	475201	COLI-K12-9 // TU0-8528	
PM0-44780	1203088	COLI-K12-24	
PM0-45049	1789603	COLI-K12-36	
PM0-45557	3119259	COLI-K12-63	
PM0-46560	2712876	COLI-K12-55	
PM0-36251	3182433	COLI-K12-65 // TU0-8666	
PM0-45940	4060423	COLI-K12-83	
PM0-45204	2107234	COLI-K12-43	
PM0-46329	2716506	COLI-K12-55 // TU0-42577	
PM0-2061	2662199	COLI-K12-54 // TU0-1881	REG0-6404 // REG0-6403
PM0-45018	1720849	COLI-K12-35	
PM0-45864	3785056	COLI-K12-77	
PM0-45255	2249656	COLI-K12-46	
PM00198	2876368	COLI-K12-58 // TU00146	REG0-5816
PM0-45357	2517892	COLI-K12-51	
PM0-45898	3899399	COLI-K12-79	
PM786	3618537	COLI-K12-74 // TU685	
PM0-44528	572319	COLI-K12-11	
PM0-44588	712846	COLI-K12-14	
PM0-10299	2797085	COLI-K12-57 // TU0-42608 // TU0-13709	REG0-11811
PM00099	813462	COLI-K12-16 // TU00070	REG0-12982 // REG0-12981 // REG0-12980 // REG0-12979 // REG0-12978 // REG0-12977 // REG0-5547
PM0-46419	539041	COLI-K12-11 // TU0-44196	
PM0-45668	3298923	COLI-K12-67	
PM0-45655	3287405	COLI-K12-67	
PM0-44607	784858	COLI-K12-16	
PM0-45848	3751960	COLI-K12-76	
PM443	738980	COLI-K12-15 // TU362	
PM0-45346	2473572	COLI-K12-50	
PM262	1335781	COLI-K12-27 // TU794	REG0-10756 // REG0-10755 // REG0-10754 // REG0-4926 // REG0-4925 // REG0-4924 // REG0-4923
PM00194	358773	COLI-K12-7 // TU0-14378 // TU00142	REG0-5845 // REG0-5844
PM0-8525	3719431	COLI-K12-76 // TU0-8145	REG0-15780
PM0-9567	2838014	COLI-K12-58 // TU0-14406	REG0-5608
PM0-2623	4467347	COLI-K12-91 // TU0-2443	REG0-6375
PM0-45115	1921745	COLI-K12-39	
PM0-9310	255737	COLI-K12-5 // TU0-8874	REG0-6612
PM00419	2737579	COLI-K12-56 // TU0-6653	
PM0-5804	3103993	COLI-K12-63 // TU0-5569 // TU0-5581 // TU0-5564	
PM0-45223	2168565	COLI-K12-44	
PM0-46117	4640838	COLI-K12-94	
PM0-45820	3696283	COLI-K12-75	
PM0-45244	2225679	COLI-K12-45	
PM00452	3719889	COLI-K12-76 // TU0-1581	REG0-12542 // REG0-12541 // REG0-12540 // REG0-12539 // REG0-12538 // REG0-12537 // REG0-12536 // REG0-12535 // REG0-12534 // REG0-12533 // REG0-12532
PM0-44990	1648457	COLI-K12-33	
PM0-44791	1213284	COLI-K12-24	
PM0-44559	661510	COLI-K12-13	
PM0-10170	4111569	COLI-K12-84 // TU0-14668	REG0-10899
PM0-9653	4350565	COLI-K12-89 // TU0-14431	REG0-9051
PM0-44414	285350	COLI-K12-5	
PM00110	2461205	COLI-K12-50 // TU00080	REG0-15779 // REG0-12989 // REG0-4478 // REG0-4477 // REG0-4476 // REG0-4475 // REG0-4474 // REG0-4472 // REG0-4471 // REG0-4470 // REG0-4469
PM00308	3058456	COLI-K12-62 // TU00224	REG0-5566 // REG0-5565 // REG0-5564
PM0-45822	3696215	COLI-K12-75	
PM0-46182	3923756	COLI-K12-80	
PM0-44477	443748	COLI-K12-9	
PM0-44687	1005850	COLI-K12-20	
PM00433	3210646	COLI-K12-65 // TU00472 // TU00352	
PM0-46529	1343369	TU0-45230 // COLI-K12-27	
PM982	4338042	COLI-K12-88 // TU821	REG0-10929
PM70	3731069	COLI-K12-76 // TU00374	REG0-9393 // REG0-9392 // REG0-5048 // REG0-5047 // REG0-5046 // REG0-5045
PM0-45783	3604352	COLI-K12-73	
PM0-45847	3751875	COLI-K12-76	
PM0-2223	141279	COLI-K12-2 // TU0-7001	
PM00597	922676	COLI-K12-18 // TU0-6486	REG0-12924 // REG0-11979 // REG0-11978 // REG0-10730 // REG0-10729 // REG0-5637
PM00062	3493987	COLI-K12-71 // TU00046	REG0-4552 // REG0-4551 // REG0-4550 // REG0-4549 // REG0-4548 // REG0-4547 // REG0-4546 // REG0-4545 // REG0-4544 // REG0-4543 // REG0-4542 // REG0-4541 // REG0-4540 // REG0-4539
PM00467	3884065	COLI-K12-79 // TU743	
PM0-44355	131307	COLI-K12-2	
PM0-9803		TU0-14208	
PM222	3536639	COLI-K12-72 // TU162	REG0-5116
PM0-44830	1307352	COLI-K12-26	
PM00086	2823819	COLI-K12-57 // TU0-4525 // TU00062	REG0-5507
PM0-45493	2971569	COLI-K12-60	
PM0-9961	134339	COLI-K12-2 // TU0-12813	
PM0-44742	1146607	COLI-K12-23	
PM0-44339	11913	COLI-K12-0	
PM0-4943	366377	COLI-K12-7 // TU0-4703	
PM0-9768	1475066	COLI-K12-30 // TU0-13249	REG0-10512
PM00668	2043562	COLI-K12-41 // TU00513	
PM0-45498	2985701	COLI-K12-61	
PM0-44625	830783	COLI-K12-17	
PM0-44896	1436984	COLI-K12-29	
PM00540	1237525	COLI-K12-25 // TU00255	REG0-5294 // REG0-5293 // REG0-5292 // REG0-5291 // REG0-5290 // REG0-5289 // REG0-5288 // REG0-5287 // REG0-5286 // REG0-5285 // REG0-5284 // REG0-5283 // REG0-5282
PM00445	3474621	COLI-K12-71 // TU00348	REG0-11169
PM0-9984	484685	COLI-K12-9 // TU0-14615	
PM421	3600813	COLI-K12-73 // TU221	REG0-5165
PM0-9868	4399052	COLI-K12-90 // TU0-14565	
PM0-45179	2053534	COLI-K12-42	
PM0-10370	3801136	COLI-K12-77 // TU0-14744	REG0-10424 // REG0-10423
PM0-46357	3405172	COLI-K12-69 // TU0-42603	REG0-12322
PM0-44788	1210319	COLI-K12-24	
PM0-45172	2039286	COLI-K12-41	
PM0-45931	4044175	COLI-K12-82	
PM0-45347	2482334	COLI-K12-50	
PM0-46106	4609344	COLI-K12-94	
PM0-45815	3673330	COLI-K12-75	
PM0-10126	3184718	COLI-K12-65 // TU0-13839	
PM0-9676	90688	COLI-K12-1 // TU0-14443	
PM521	795062	COLI-K12-16 // TU00301	REG0-5124 // REG0-5123
PM0-45044	1770926	COLI-K12-36	
PM00088	3600849	COLI-K12-73 // TU00083	REG0-10558 // REG0-9002 // REG0-9001 // REG0-5515 // REG0-5514 // REG0-5513 // REG0-5512
PM00367	1263676	COLI-K12-25 // TU0-4201	REG0-5831 // REG0-5830 // REG0-5829
PM0-44553	646603	COLI-K12-13	
PM0-45367	2531407	COLI-K12-51	
PM0-45216	2151076	COLI-K12-44	
PM00626	2001808	COLI-K12-40 // TU00471	REG0-10506 // REG0-10504
PM0-44435	318484	COLI-K12-6	
PM0-44732	1119623	COLI-K12-22	
PM00295	1936376	COLI-K12-39 // TU00209	REG0-11088 // REG0-11087 // REG0-10893 // REG0-5992 // REG0-5991 // REG0-5990
PM0-45674	3309040	COLI-K12-67	
PM0-45228	2186884	COLI-K12-44	
PM0-2761	1161647	COLI-K12-23 // TU0-2581	REG0-6344 // REG0-6343
PM0-10048	1673890	COLI-K12-34 // TU0-8532	
PM0-45510	2990383	COLI-K12-61	
PM0-46115	4640358	COLI-K12-94	
PM0-46100	4599494	COLI-K12-94	
PM0-44415	285353	COLI-K12-5	
PM0-45389	2641880	COLI-K12-54	
PM0-44457	383985	COLI-K12-7	
PM0-10090	2530201	COLI-K12-51 // TU0-13620	
PM00207	4518282	COLI-K12-92 // TU00460	REG0-12660 // REG0-9281 // REG0-9280 // REG0-5770 // REG0-5769
PM0-45309	2385760	COLI-K12-48	
PM0-45586	3167731	COLI-K12-64	
PM0-44369	160143	COLI-K12-3	
PM0-44717	1095155	COLI-K12-22	
PM00033	792086	COLI-K12-16 // TU0-42584 // TU0-42582 // TU0-42580 // TU00026	REG0-4666 // REG0-4665 // REG0-4664 // REG0-4663 // REG0-4662 // REG0-4661 // REG0-4660 // REG0-4659
PM0-45750	3526329	COLI-K12-72	
PM0-36176	3573657	COLI-K12-73 // TU0-14302	REG0-10877
PM00497	4179623	COLI-K12-85 // TU00335	REG0-11180
PM332	1011666	COLI-K12-20 // TU561	REG0-5149 // REG0-5148
PM00429	3083946	COLI-K12-63 // TU0-6625	
PM0-46567	1037710	TU0-45265 // COLI-K12-21	REG0-15188 // REG0-15187 // REG0-15186
PM0-44397	243468	COLI-K12-4	
PM0-44347	47080	COLI-K12-0	
PM0-46063	4503549	COLI-K12-92	
PM0-44817	1270012	COLI-K12-25	
PM0-36140	2313452	COLI-K12-47 // TU0-14359	REG0-10924
PM0-45497	2985624	COLI-K12-61	
PM0-45581	3161310	COLI-K12-64	
PM0-8530	1114213	COLI-K12-22 // TU0-8150	
PM0-46069	4511530	COLI-K12-92	
PM0-10006	971672	COLI-K12-19 // TU0-13089	
PM0-44371	175052	COLI-K12-3	
PM0-45211	2115934	COLI-K12-43	
PM0-9588	3669261	COLI-K12-75 // TU0-13965	REG0-10683 // REG0-5414 // REG0-5413
PM0-45003	1671957	COLI-K12-34	
PM0-45271	2280545	COLI-K12-46	
PM0-9622	2700518	COLI-K12-55 // TU0-14421	
PM0-10516	1842188	COLI-K12-37 // TU0-14800	
PM00058	703708	COLI-K12-14 // TU00043	REG0-9006 // REG0-9005 // REG0-4515 // REG0-4514 // REG0-4513 // REG0-4512
PM0-10152	3812703	COLI-K12-78 // TU0-14356	
PM0-44574	676611	COLI-K12-13	
PM00598	1031984	COLI-K12-21 // TU00288	REG0-12188 // REG0-11655 // REG0-11654 // REG0-9377 // REG0-5328 // REG0-5327 // REG0-5326 // REG0-5325 // REG0-5324 // REG0-5323 // REG0-5322
PM0-1162	1832013	COLI-K12-37 // TU0-1002	
PM0-44385	214195	COLI-K12-4	
PM0-45803	3624173	COLI-K12-74	
PM0-10230	1822302	COLI-K12-37 // TU0-13386	
PM0-44407	275315	COLI-K12-5	
PM0-10055	1755600	COLI-K12-35 // TU0-14631	
PM00373	1757383	COLI-K12-35 // TU0-6509	
PM0-45952	4079597	COLI-K12-83	
PM0-10158	3931181	COLI-K12-80 // TU0-14662	
PM0-9723	1119071	COLI-K12-22 // TU0-13126	
PM0-45950	4079180	COLI-K12-83	
PM0-9320	1316092	COLI-K12-26 // TU0-36408 // TU0-13193	REG0-10834 // REG0-10833 // REG0-10832 // REG0-6611
PM0-9745	3096620	COLI-K12-63 // TU0-14491	
PM0-44686	1005890	COLI-K12-20	
PM0-45296	2364317	COLI-K12-48	
PM0-44539	606264	COLI-K12-12	
PM0-45708	3389383	COLI-K12-69	
PM00226	624727	COLI-K12-12 // TU00164	REG0-9593 // REG0-9134 // REG0-5404 // REG0-5403
PM00220	4368432	COLI-K12-89 // TU0-6021 // TU00160	REG0-13439 // REG0-13438 // REG0-5813 // REG0-5812 // REG0-5811 // REG0-5810 // REG0-5809
PM0-44543	610141	COLI-K12-12	
PM00454	3782681	COLI-K12-77 // TU0-6501	REG0-12154
PM0-44743	1146749	COLI-K12-23	
PM0-9601	4278066	COLI-K12-87 // TU0-8519	
PM0-44792	1213212	COLI-K12-24	
PM0-45795	3609913	COLI-K12-73	
PM0-45871	3799398	COLI-K12-77	
PM00102	638921	COLI-K12-13 // TU00074	REG0-10673 // REG0-5553 // REG0-5552 // REG0-5551
PM0-10406	638800	COLI-K12-13 // TU0-12995	REG0-10675 // REG0-10459
PM0-9689	3276972	COLI-K12-67 // TU0-13872	
PM00098	4273936	COLI-K12-87 // TU00069	REG0-5546 // REG0-5545 // REG0-5544 // REG0-5543 // REG0-5542
PM0-10467	3853845	COLI-K12-78 // TU0-14013	REG0-13532
PM0-45967	4137864	COLI-K12-84	
PM0-46332	2914318	COLI-K12-59 // TU0-42590	REG0-12118
PM00457	3880150	COLI-K12-79 // TU0-2603	REG0-6346 // REG0-6345
PM0-8526	4439511	COLI-K12-90 // TU0-8146	REG0-12830 // REG0-12829
PM0-45945	4069433	COLI-K12-83	
PM178	4233616	COLI-K12-86 // TU0-6553	
PM0-45768	3571419	COLI-K12-73	
PM761	4046940	COLI-K12-82 // TU661	REG0-4922
PM0-45851	3751975	COLI-K12-76	
PM0-6881	3278866	COLI-K12-67 // TU0-6581	REG0-5892 // REG0-5891 // REG0-5890 // REG0-5889
PM0-10023	1227609	COLI-K12-25 // TU0-13169	
PM0-1121	1329284	COLI-K12-27 // TU0-961	REG0-6531
PM0-10040	1509978	COLI-K12-30 // TU0-13267	
PM0-36253	3389430	COLI-K12-69 // TU0-13901	REG0-15889 // REG0-11100
PM0-45447	2775888	COLI-K12-56	
PM687	472556	COLI-K12-9 // TU587	REG0-11079 // REG0-11078 // REG0-11077 // REG0-11076 // REG0-4897 // REG0-4896
PM0-4524	57156	COLI-K12-1 // TU0-4284	
