Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation	Regulated-Entity	Regulator
BS0-7616	2313124	REG0-14822 // REG0-9578	PM0-46465 // PM00401	EG12116-MONOMER
BS0-6981	954841	REG0-5204 // REG0-5183	PM00354 // PM00353	PHOSPHO-NARL
BS0-7563	3656888	REG0-15110 // REG0-9406	PM0-46542 // PM928	MONOMER0-155
BS0-7684	3244840.5	REG0-10259	PM00202	CPLX0-226
BS0-4062	1323127.5	REG0-5536	PM00094	CPLX-125
BS0-8331	1391959.5	REG0-11658	PM0-44865	G6664-MONOMER
BS121	42255.5	REG0-5164	PM339	CPLX0-226
BS0-1125	963445	REG0-15274 // REG0-4899	PM0-46583 // PM00242	PC00027
BS0-7788	4474082	REG0-10513	PM0-10435	CPLX0-7756
BS0-8172	2719849.5	REG0-11353	PM0-46172	CPLX0-226
BS0-5281	2753496	REG0-6311	PM0-3623	CPLX0-7748
BS0-7526	1572131	REG0-15060 // REG0-9364	PM0-46530 // PM450	CPLX0-7705
BS160	4341824.5	REG0-5709 // REG0-5705 // REG0-4498	PM00175 // PM00050	PD00208 // MONOMER0-161
BS0-7230	3058486	REG0-5565	PM00308	G7072-MONOMER
BS0-3929	4551464.5d0	REG0-4984	PM101	PD03270
BS0-7501	4246580	REG0-9330	PM00047	CPLX0-7705
BS0-9008	1233179	REG0-13484	TU0-13172	PHOSPHO-ARCA
BS0-8180	652028.5	REG0-11378 // REG0-11376	PM0-10377 // PM0-10380	CPLX0-226
BS0-7524	3667625	REG0-15205 // REG0-9362	PM0-46571 // PM461	CPLX0-7705
BS841	1084834	REG0-6010	PM00362	PHOSPHO-PHOB
BS0-7637	2081286.5	REG0-9607	PM0-10074	PC00010
BS00016	290362.5d0	REG0-4777	PM00007	CPLX0-228
BS465	4200008.5	REG0-5036	PM586	CPLX0-7705
BS0-7742	2512788	REG0-10458	PM0-7661	PD00214
BS0-1421	656116.5d0	REG0-6426	PM0-1783	CPLX0-7797
BS0-8300	1100204	REG0-11621 // REG0-11620	PM0-44722	CPLX0-226
BS0-7139		REG0-5102	PM00559	PD00288
BS0-6948	1764563	REG0-6348	PM0-2801	PC00027
BS748	1165975	REG0-5798	PM00218	PC00027
BS0-10463		REG0-15808	PM0-4427	CPLX0-7756
BS0-8303	887387.5	REG0-11625 // REG0-11624	TU0-13069 // TU0-8671	CPLX0-8597
BS0-8352	1880873.5	REG0-11751	PM0-46264	MONOMER0-155
BS0-8812	3875295	REG0-13129	PM0-46406	CPLX0-8578
BS0-881	4516753	REG0-5332	PM00605	CPLX0-7639
BS0-8227	84109	REG0-11481 // REG0-11480	PM0-46179	PD00519
BS00663	3105558.5	REG0-8998 // REG0-5690	PM00173	CPLX0-226
BS0-7187	1657962.5	REG0-15123 // REG0-6162	PM0-46547 // PM0-5721	CPLX0-7797
BS0-5261	4166317	REG0-15241 // REG0-5078	PM0-46578 // PM00514	PD00288
BS343	2312860	REG0-5315	PM00630	PD00353
BS-7048	3169754	REG0-6547	PM0-45592	MONOMER0-2741
BS00314		REG0-5447	PM00165	CPLX0-226
BS603	3772324	REG0-5721	PM00272	CPLX0-7705
BS0-7242	3410025	REG0-4629	PM00028	CPLX0-7705
BS0-3242	4223706	REG0-6254	PM0-4528	PD01520
BS0-8541	3719911.5	REG0-12536	PM00452	PD00288
BS0-10846		REG0-16413	TU0-8458	CPLX0-7639
BS0-10656	246366	REG0-16119 // REG0-16118	G6111 // TU0-12849	G7518-MONOMER
BS0-3901	3867012	REG0-6225	PM0-5241	PC00027
BS0-8420	89593	REG0-12013	PM0-1101	EG11084-MONOMER
BS0-8202	3051085.5	REG0-11434	PM00233	CPLX0-226
BS0-7549	4611143	REG0-15071 // REG0-9388	PM0-46534 // PM00529	CPLX0-7705
BS0-7357	1810168.5	REG0-8952	PM0-8641	PC00010
BS0-7702	1400358	REG0-10332	PM0-10357	PHOSPHO-NARL
BS0-4401	4252442.5d0	REG0-6170	PM0-5862	CPLX0-7797
BS525	1298351.5	REG0-4959	PM646	CPLX0-7797
BS0-4121	4494476.5	REG0-6242 // REG0-6234	PM0-4922 // PM0-4921	CPLX0-226
BS0-1921	1031974	REG0-14856 // REG0-5328	PM0-46472 // PM00598	PHOSPHO-NARL
BS0-3926	3246613.5	REG0-12519	PM0-46365	PD03270
BS0-7985		REG0-10917	PM0-9299	CPLX0-7852
BS0-2964	4132554.5	REG0-4505	PM00054	CPLX0-7796
BS00143	1279682	REG0-4524	PM00060	PC00027
BS00785	2999131	REG0-5368	PM00671	CPLX0-7705
BS0-8276	4591429	REG0-11571	PM0-46197	MONOMER0-4276
BS00685	1978540.5	REG0-5589	PM00184	PHOSPHO-OMPR
BS0-8344	1361129.5	REG0-11703 // REG0-11699	PM0-10351 // PM0-10033	EG12431-MONOMER
BS109	1279706	REG0-4522	PM00060	PHOSPHO-NARL
BS0-7850	638640	REG0-10674	PM0-10408	PD00214
BS0-8931	3287391	REG0-13291	TU0-13873	G7072-MONOMER
BS0-4203	422421.5	REG0-6159	PM0-5642	MONOMER0-158
BS0-7617	1726000.5	REG0-9581	PM0-10220	G6889-MONOMER
BS0-4208	3493890	REG0-4546	PM00062	CPLX0-7705
BS00382	1547329.5	REG0-5785	PM00217	CPLX0-7797
BS0-6341	2483521.5	REG0-6356 // REG0-6096 // REG0-6095	PM0-3281 // PM0-7941 // PM0-7921	PHOSPHO-EVGA
BS0-2568	223414	REG0-15225 // REG0-6471	PM0-46572 // PM0-1349	CPLX0-7705
BS00701	3492490.5	REG0-8988 // REG0-5339 // REG0-5338	PM00620 // PM00619	CPLX0-226
BS0-7540	4442301	REG0-9379	PM321	CPLX0-7705
BS0-7861	4158461	REG0-15189 // REG0-10697 // REG0-10695	PM0-46569 // PM0-10525 // PM00067	PD00214
BS0-7000	1103365.5	REG0-15167 // REG0-5358	PM0-46559 // PM00536	CPLX0-7748
BS00376	3756564	REG0-5904	PM00187	CPLX0-7705
BS0-4065	406327.5d0	REG0-4790	PM00013	CPLX-125
BS0-8958	4391547	REG0-13345 // REG0-13344	TU0-14151 // TU0-14150	EG12386-MONOMER
BS0-8234	3656784	REG0-15092 // REG0-11490	PM0-46542 // PM928	EG11356-MONOMER
BS0-8423	3926529	REG0-12016	PM0-10155	EG11084-MONOMER
BS0-3355	4058164.5	REG0-5937	PM00312	CPLX0-226
BS0-8889	1806364	REG0-14612 // REG0-13233	EG10700 // TU0-41842	G7072-MONOMER
BS0-7556	84092	REG0-11473 // REG0-9399	PM0-46179 // PM0-9884	PD00288
BS0-5643	913954	REG0-6112	PM0-7361	PHOSPHO-NARP
BS784		REG0-14919 // REG0-5484	PM0-46490 // PM00136	PD00353
BS0-3485	770855	REG0-5499	PM00141	PHOSPHO-ARCA
BS0-8904	3113140	REG0-13258	TU0-13813	G7072-MONOMER
BS0-8779	4242335	REG0-12965	PM0-46402	MONOMER0-165
BS0-8807		REG0-13124	PM0-46188	PHOSPHO-ARCA
BS0-4221	2832298.5d0	REG0-6271	PM0-4681	CPLX0-7797
BS0-7379	3790208.5	REG0-9033	PM0-9640	PHOSPHO-PHOB
BS0-8018	4163472.5	REG0-10967	PM00494	EG12243-MONOMER
BS0-6083	1065326.5	REG0-6092	PM0-7741	CPLX0-226
BS00162	987142.5	REG0-15033 // REG0-15023 // REG0-9004 // REG0-4590	PM0-46528 // PM00066	PHOSPHO-OMPR
BS0-7626	2634100	REG0-9596	PM00289	CPLX0-7705
BS0-8041	1592472.5	REG0-11034	PM0-8864	EG10442-MONOMER
BS00024	2741230.5	REG0-4785	PM00010	MONOMER0-162
BS770	131489.5	REG0-4931	PM263	CPLX0-7705
BS0-7641	712024.5	REG0-9621	PM0-10247	PC00010
BS0-7039	2313181	REG0-4566	PM00065	CPLX0-7748
BS00014	4154881.5d0	REG0-4775 // REG0-4773	PM00006 // PM00005	CPLX0-228
BS0-7833	1988626	REG0-10609	PM0-10490	PD00288
BS0-2082	2405533.5	REG0-5168	PM00593	CPLX0-7705
BS0-7701	1400334	REG0-10331	PM0-10357	PHOSPHO-NARL
BS0-8058	1067872.5	REG0-11064	PM0-10013	PD01379
BS0-7116	461702	REG0-6154	PM00615	CPLX0-7748
BS0-8750	3653952	REG0-12882	PM00137	EG12243-MONOMER
BS00091	2352623.5	REG0-4703 // REG0-4684	PM00039 // PM00037	PD03576
BS0-1222	1103866	REG0-15000 // REG0-5281	PM0-46522 // PM00535	CPLX0-7748
BS0-2565	2731539	REG0-14932 // REG0-6464	PM0-46498 // PM0-1347	CPLX0-7705
BS0-2842	4330366	REG0-5334	PM00611	CPLX0-7705
BS0-7956	3216553	REG0-10883	PM0-36183	CPLX0-7639
BS00173	417070	REG0-11646 // REG0-4618	PM0-9646 // PM00072	PHOSPHO-PHOB
BS00210	4273964.5	REG0-5546 // REG0-5534	PM00098 // PM00091	PC00010
BS0-1161	4166296	REG0-15244 // REG0-5075	PM0-46578 // PM00514	CPLX0-7705
BS0-8409	1477531.5	REG0-11987	PM0-46309	CPLX0-7916
BS0-7908	17424	REG0-10800	PM00282	MONOMER0-46
BS00225	2532324	REG0-5559	PM00108	PC00040
BS00776	697230	REG0-5306	PM00662	CPLX0-7705
BS0-7770	1165997	REG0-10489	PM00218	CPLX0-7756
BS0-8462	4112814	REG0-12190	PM0-3665	G6789-MONOMER
BS0-7320	624849	REG0-5409	PM00228	CPLX0-7639
BS0-7624	624555.5	REG0-9593	PM00226	PD01352
BS-7099	2344618.5d0	REG0-4557	PM00063	CPLX0-226
BS0-7903	4605756	REG0-10786	PM0-8081	CPLX0-7639
BS0-8248	771262.5	REG0-11505	PM0-3343	PC00061
BS0-3041		REG0-6305	PM0-4241	PD00288
BS0-8851	2941111	REG0-13170	TU0-14306	G7072-MONOMER
BS0-8383		REG0-14864 // REG0-11897	PM0-46473 // PM0-10229	EG11554-MONOMER
BS0-8099		REG0-11119	TU0-8359	CPLX0-7797
BS00190	1004673.5	REG0-5344	PM00084	CPLX-123
BS00145	1277738	REG0-4535	PM00061	PHOSPHO-NARL
BS0-7775	1764486	REG0-10494	PM0-2801	CPLX0-7756
BS0-3821	511583.5	REG0-6360	PM0-3303	EG12243-MONOMER
BS764	131462	REG0-4937	PM263	PHOSPHO-ARCA
BS0-4602	4097594.5d0	REG0-5985	PM00303	CPLX0-226
BS0-6990	4287592	REG0-5954	PM00280	PHOSPHO-NARP
BS0-7913	1212158	REG0-10936 // REG0-10805	PM0-36194 // PM0-10021	PHOSPHO-PHOP
BS0-8313	1671268.5	REG0-15248 // REG0-11635	PM0-46579 // PM0-1881	CPLX0-8597
BS00659	2405202.5	REG0-5635	PM00592	CPLX0-7797
BS0-7008	3490211	REG0-5670	PM00152	PHOSPHO-PHOP
BS00690	329423	REG0-5435	PM00157	PHOSPHO-ARCA
BS0-7915	1103530	REG0-15164 // REG0-10807	PM0-46559 // PM00536	CPLX0-7748
BS0-8382		REG0-14865 // REG0-11896	PM0-46473 // PM0-10229	PD00353
BS0-1743	3667685	REG0-15216 // REG0-5006	PM0-46571 // PM461	EG12243-MONOMER
BS00765	3756583	REG0-5905	PM00187	CPLX0-7705
BS0-3021	2665358.5d0	REG0-14924 // REG0-5147	PM0-46497 // PM327	CPLX0-226
BS0-7498	2352522	REG0-9326 // REG0-9321	PM00039 // PM00037	CPLX0-7705
BS0-8583	331684	REG0-12592	PM0-9570	CPLX0-8109
BS0-3463	1166027	REG0-5794	PM00218	PHOSPHO-ARCA
BS0-2163	1453894	REG0-5099	PM5	CPLX0-7731
BS0-6701	2587443.5	REG0-6075	PM0-8401	PHOSPHO-EVGA
BS0-8460	1031923	REG0-14852 // REG0-12188	PM0-46472 // PM00598	G6789-MONOMER
BS00356	4016330	REG0-5578	PM00179	CPLX0-7740
BS0-7993		REG0-10925	PM00159	PD00288
BS0-8228	84050	REG0-11483 // REG0-11482	PM0-46179	PD00519
BS00125	4214252.5d0	REG0-4502	PM00051	CPLX0-7796
BS0-2744	4287616	REG0-15083 // REG0-9309 // REG0-6284 // REG0-5961	PM0-46541 // PM0-3923 // PM0-3921 // PM00280	PC00027
BS00736	1058030.5d0	REG0-5978	PM00298	PHOSPHO-TORR
BS0-7604	848947.5	REG0-14937 // REG0-9554	PM0-46500 // PM00243	PD00288
BS0-8677	1488029	REG0-12709	PM324	PD04418
BS0-7603	848960	REG0-14938 // REG0-9553	PM0-46500 // PM00243	CPLX0-7705
BS00258	4267100.5d0	REG0-5462	PM00124	MONOMER0-162
BS0-7746		REG0-10462	PM0-44629	G6761-MONOMER
BS0-8785	813241.5	REG0-12977	PM00099	PC00010
BS0-8294	1688377.5	REG0-11603	PM00146	CPLX0-226
BS00106	366333	REG0-4723	PM00045	PD00763
BS00783	2518329	REG0-5367	PM00669	CPLX0-7705
BS00189	1122666.5	REG0-4623	PM00083	CPLX-123
BS00319	754874.5	REG0-5875 // REG0-5858	PM00148 // PM00143	CPLX0-226
BS0-8787	813314	REG0-12979	PM00099	MONOMER0-160
BS524	1298324	REG0-14882 // REG0-4961 // REG0-4893	PM0-46478 // PM646 // PM00279	PHOSPHO-NARL
BS0-6524	703206	REG0-6066	PM0-8185	PHOSPHO-PHOP
BS0-4204	1157767	REG0-6505	PM0-1301	PHOSPHO-ARCA
BS0-1761	1572089.5	REG0-15063 // REG0-4990	PM0-46530 // PM450	EG12243-MONOMER
BS0-7940	1586630.5	REG0-10842	PM0-9849	PHOSPHO-PHOP
BS0-7754	2839357.5	REG0-10472	PM0-8848	CPLX0-226
BS0-7857	2718640	REG0-10682	PM0-3284	PD00214
BS0-7451	4432059	REG0-9168	PM-8827	PHOSPHO-NARL
BS0-5721	2352136.5	REG0-4702	PM00039	PD03576
BS0-5461	366320	REG0-4720	PM00045	PD00288
BS0-8161	3884030.5	REG0-11321	PM00466	CPLX0-7669
BS0-6989	4287592	REG0-5955	PM00280	PHOSPHO-NARL
BS00227	2461188	REG0-4471	PM00110	PD01520
BS0-8981	676686	REG0-13425	TU0-8561	PD00519
BS0-10771		REG0-16326	PM0-1343	MONOMER0-46
BS0-8597	2710452.5	REG0-12599	PM0-46372	PC00027
BS0-7681	2308945.5	REG0-10186	PM0-10338	MONOMER0-155
BS0-7537	1230448	REG0-9376	PM681	CPLX0-7705
BS0-8545	3719817	REG0-12538	PM00452	CPLX0-7705
BS0-2566	2731560	REG0-14933 // REG0-6463	PM0-46498 // PM0-1347	CPLX0-7705
BS0-7665	3088047.5	REG0-10089	PM0-7421	MONOMER-53
BS0-8478	914929.5	REG0-12227	PM0-46346	CPLX0-228
BS0-7870		REG0-10714	PM0-10036	EG12243-MONOMER
BS0-8506	70224.5	REG0-12386	PM00004	MONOMER0-165
BS0-2683	1563216	REG0-6320	PM0-3823	PROTEIN-NRIP
BS00338	3737238.5	REG0-5594	PM00185	CPLX0-226
BS467	4199921	REG0-5034	PM586	CPLX0-7705
BS0-7925	1103410.5	REG0-15154 // REG0-10817	PM0-46559 // PM00536	PC00027
BS0-7777	3790264	REG0-10501	PM0-9640	CPLX0-7756
BS0-7250	1330724	REG0-6377 // REG0-5080	PM00550 // PM00547	CPLX0-7705
BS0-7806	1492386.5	REG0-10564	PM0-10039	CPLX0-226
BS00629	3600918	REG0-5657 // REG0-5450	PM00571 // PM00114	MONOMER0-160
BS0-8975	4471002	REG0-13397	PM0-10193	PD00353
BS0-2430	2313170.5	REG0-14826 // REG0-5311 // REG0-5216 // REG0-4995 // REG0-4574	PM0-46465 // PM00630 // PM00401 // PM00631 // PM00065	PD00353
BS00714	848126	REG0-5753	PM00235	CPLX0-8566
BS0-7500	2352617	REG0-9324 // REG0-9323	PM00039 // PM00037	CPLX0-7705
BS330	2312766.5	REG0-4579	PM00065	MONOMER0-155
BS0-2557	4207762	REG0-15257 // REG0-6460	PM0-46580 // PM0-1346	CPLX0-7705
BS0-3352	2832352	REG0-6585 // REG0-6265	PM0-9342 // PM0-4681	EG12108-MONOMER
BS0-8943	1492330.5	REG0-13308	TU0-13256	CPLX0-226
BS0-7115	461722.5	REG0-6155	PM00615	CPLX0-7748
BS00005	70168.5	REG0-4768 // REG0-4761	PM00004 // PM00003	CPLX0-226
BS0-1145	1842227	REG0-6435	PM00379	G7072-MONOMER
BS00573	954872.5	REG0-5194	PM00354	CPLX0-7797
BS0-6381	532337	REG0-6079 // REG0-6077	PM0-7982 // PM0-7981	CPLX0-8071
BS0-8144		REG0-11260	TU0-13935	CPLX0-7669
BS0-7547	1279741	REG0-9386	PM00060	CPLX0-7705
BS0-1123	963592	REG0-15272 // REG0-4901	PM0-46583 // PM00242	PC00027
BS0-7984	2691392	REG0-10915	PM0-9632	PC00027
BS0-10838	4118545	REG0-16471 // REG0-16405	EG11878 // TU0-198704	CPLX0-7639
BS00399	4518296	REG0-5770	PM00207	CPLX0-7639
BS0-7518	940790	REG0-9356	PM00026	CPLX0-7705
BS0-7309	1862691.5	REG0-15185 // REG0-11512 // REG0-11510 // REG0-11508 // REG0-6205	PM0-46565 // PM00579 // PM00578 // PM00380 // PM00577	PC00061
BS0-8965	2782949	REG0-13366	TU0-13700	EG12386-MONOMER
BS0-8653	84070.5	REG0-12679	PM0-9884	CPLX0-8563
BS0-7221	1842275.5d0	REG0-6433	PM00379	CPLX0-226
BS00214	638877	REG0-10675 // REG0-5551	PM0-10406 // PM00102	PD00214
BS0-8272	937284.5	REG0-11552	PM0-46189	PHOSPHO-RCSB
BS0-1061	1277918.5d0	REG0-5393	PM00214	CPLX0-6
BS00621		REG0-5583	PM00184	PD00288
BS0-3924	4554411.5	REG0-6185	PM0-5285	EG20249-MONOMER
BS125	34176.5d0	REG0-5157	PM338	CPLX0-226
BS0-3470	890835.5	REG0-6411	PM0-2281	PD00406
BS0-8039	2089743.5	REG0-11032	PM0-10318	CPLX0-7929
BS0-10661	2473511	REG0-16131 // REG0-16125	TU0-13604 // TU0-13603	G7518-MONOMER
BS782	931111	REG0-6033	PM961	PHOSPHO-NARL
BS0-8755	890769	REG0-12889	PM821	PD00214
BS0-8639	4531993.5	REG0-12666	TU0-14193	CPLX0-8563
BS0-8264	4035166	REG0-14837 // REG0-11532	PM0-46466 // PM0-1341	MONOMER0-155
BS481	3562384.5d0	REG0-4688	PM00038	PD03576
BS0-8803		REG0-13120	PM932	G6761-MONOMER
BS0-1124	963542	REG0-15273 // REG0-4900	PM0-46583 // PM00242	PC00027
BS0-8016	3667728.5	REG0-15202 // REG0-10964	PM0-46571 // PM461	EG12243-MONOMER
BS0-7969	4153236.5	REG0-10897	PM00491	PC00061
BS0-8226	3906846	REG0-11479	PM0-5042	PD00519
BS0-3784	3577643.5	REG0-5267	PM00314	MONOMER0-1301
BS00025	785553	REG0-4787	PM00011	MONOMER0-163
BS0-5723	2352103.5	REG0-4700	PM00039	PD03576
BS443	1237534	REG0-5292 // REG0-5029 // REG0-5022	PM00540 // PM562 // PM561	PD00353
BS0-6463	4605779	REG0-10789 // REG0-6086	PM0-10418 // PM0-8081	CPLX0-7639
BS00716	2685695	REG0-5929	PM00268	CPLX0-7752
BS0-8405	3157500.5	REG0-11983	PM0-46312	CPLX0-7916
BS0-8740	3634664.5	REG0-12869	PM0-36192	EG11544-MONOMER
BS00300	3927019.5	REG0-9603 // REG0-5993	PM00154 // PM00153	CPLX0-7733
BS0-2264	3039773	REG0-6331	PM0-3382	PD00406
BS00651	1901853	REG0-5733	PM00276	PD00266
BS-7066	4215261	REG0-4748	PM00001	CPLX0-7605
BS0-7583	1754637	REG0-9463	PM0-10196	PHOSPHO-NARL
BS0-2502	1832122.5	REG0-6484	PM0-1163	CPLX0-228
BS447	1795768	REG0-4887	PM00241	PC00027
BS0-8947	4531727.5	REG0-13312	TU0-14193	CPLX0-226
BS0-8693	1447312	REG0-12803	PM0-46298	MONOMER0-2741
BS0-8996	1103369	REG0-15139 // REG0-13459	PM0-46559 // PM00536	MONOMER0-4276
BS00506	4100715	REG0-5519	PM00089	PD00406
BS0-8215		REG0-11467	PM0-44426	G6165-MONOMER
BS0-8912	3418280	REG0-13266	TU0-13907	G7072-MONOMER
BS62	3772012.5d0	REG0-5718	PM00272	CPLX0-226
BS-7050	1130939	REG0-6549	PM-8782	CPLX0-3930
BS0-8149		REG0-11267	TU0-8301	PHOSPHO-CREB
BS0-2483	1832277	REG0-6488	PM0-1163	PROTEIN-NRIP
BS0-8021	3653854.5	REG0-10971	PM00137	EG12242-MONOMER
BS0-4642	4058247	REG0-5936 // REG0-4671	PM00312 // PM00034	PROTEIN-NRIP
BS158	4341648.5	REG0-5708 // REG0-4499	PM00175 // PM00050	PD00208
BS00291		REG0-5868	PM00146	PHOSPHO-ARCA
BS0-8827	4335382	REG0-13145	TU0-14345	G7072-MONOMER
BS191	4542928	REG0-5132	PM241	PD00353
BS0-7815	2691528.5	REG0-10578	PM0-9632	MONOMER0-4147
BS0-2721	3613615.5	REG0-4827	PM881	CPLX0-7707
BS00296	1195023	REG0-5878	PM00149	PHOSPHO-ARCA
BS0-7895	2344741	REG0-10766	PM00063	MONOMER0-160
BS0-6803	4012822	REG0-6062 // REG0-6059 // REG0-6056	PM0-8604 // PM0-8603 // PM0-8601	CPLX0-7752
BS0-7786	1734296	REG0-10511	PM0-10434	CPLX0-7756
BS00577	954746	REG0-5201 // REG0-5193	PM00354 // PM00353	PHOSPHO-NARL
BS0-7836	3068880.5	REG0-10612	PM0-9890	MONOMER0-155
BS0-8928	1357705	REG0-13287	TU0-13207	G7072-MONOMER
BS00766	3756648	REG0-5906	PM00187	CPLX0-7705
BS00093	2352564.5	REG0-4705 // REG0-4682	PM00039 // PM00037	PD03576
BS0-3421	4360285	REG0-6046	PM00622	PHOSPHO-ARCA
BS0-7734	1657989	REG0-15122 // REG0-10435	PM0-46547 // PM0-5721	PHOSPHO-NARL
BS0-6975	954513	REG0-5195 // REG0-5189	PM00354 // PM00353	PHOSPHO-NARL
BS0-2	2832370	REG0-6266	PM0-4681	PHOSPHO-NARP
BS0-7331	3648470.5	REG0-5155	PM336	CPLX0-7734
BS0-7667	3088147.5	REG0-10091	PM0-7421	MONOMER-53
BS0-7646	3178021.5	REG0-9784 // REG0-9782	PM0-10259 // PM0-10219	PD04418
BS0-3001	2788858.5d0	REG0-6307	PM0-4241	CPLX0-226
BS0-1283	2001871.5	REG0-5262	PM00563	CPLX0-3930
BS00535		REG0-5563	PM00307	PD00353
BS0-8933	2788895	REG0-13293	PM0-4241	EG12386-MONOMER
BS0-8970	1217385	REG0-13372	TU0-13163	EG12386-MONOMER
BS0-7163	3708032.5d0	REG0-5618	PM00546	CPLX0-7797
BS0-8728	1420302	REG0-12839	TU0-13231	G6680-MONOMER
BS0-8770	3348395	REG0-12907	PM0-8161	PD00406
BS0-941	2344591.5	REG0-4560	PM00063	CPLX0-7669
BS-7063	4215298	REG0-4751	PM00001	CPLX0-7605
BS0-7162	3667596.5	REG0-15213 // REG0-5009	PM0-46571 // PM461	CPLX0-7797
BS0-7844	497976	REG0-10664	PM0-9365	PD00214
BS00661	432252.5d0	REG0-6051	PM00338	PD01196
BS0-8732	1420220.5	REG0-12841	TU0-13231	G6680-MONOMER
BS0-3502	1942624	REG0-6233 // REG0-6230	PM0-4882 // PM0-4844	CPLX0-7680
BS00279		REG0-15187 // REG0-5488	PM0-46567 // PM00138	PD00967
BS0-5101	4246671.5	REG0-4738 // REG0-4727	PM00048 // PM00047	MONOMER0-158
BS0-4381	1978385	REG0-5586	PM00184	PC00084
BS0-8275	4635372.5	REG0-11567	PM0-8184	PD00406
BS0-2542	4035148	REG0-14843 // REG0-6449	PM0-46466 // PM0-1341	CPLX0-7705
BS0-8129	1103395	REG0-14996 // REG0-11244	PM0-46522 // PM00535	CPLX0-7748
BS0-8411	2913825	REG0-12001	PM00427	EG10442-MONOMER
BS0-8390	1440881.5	REG0-11904	PM0-36236	PD00406
BS0-7756	348517.5	REG0-10474	PM0-7561	EG10087-MONOMER
BS00779	1097751	REG0-5308	PM00665	CPLX0-7705
BS0-4622	4341691.5d0	REG0-5702 // REG0-4495	PM00175 // PM00050	CPLX0-226
BS0-7032	4351725	REG0-6568	PM0-8728	PHOSPHO-NARL
BS0-7356	4579925.5	REG0-8951	PM0-9611	PC00010
BS0-7377	2054998	REG0-9031	PM00391	PHOSPHO-PHOB
BS0-6542	883540	REG0-6069	PM0-8202	PHOSPHO-PHOP
BS00392	4215235.5	REG0-4745	PM00001	PC00061
BS0-4903	957461	REG0-4828	PM921	PD00353
BS0-7458	480972	REG0-9239	PM0-9394	EG11088-MONOMER
BS0-8353	1880840.5	REG0-11752	PM0-46264	MONOMER0-155
BS0-8034		REG0-11027	PM340	PD00353
BS0-6947	4223659	REG0-4511	PM00055	CPLX0-7639
BS00484		REG0-5939	PM00284	PHOSPHO-PHOB
BS0-9019	2884365	REG0-13534	PM0-10544	EG11554-MONOMER
BS0-1321	3683579.5	REG0-5364	PM0-1621	CPLX0-226
BS0-6061	2512765.5	REG0-6107	PM0-7661	CPLX0-7639
BS0-7999		REG0-10931	PM0-10288	PD00288
BS0-24	1230737.5d0	REG0-5569	PM00251	PC00010
BS0-7990		REG0-14887 // REG0-10922	PM0-46479 // PM00254	EG11966-MONOMER
BS0-10775		REG0-16330	PM0-1346	MONOMER0-46
BS0-7717	1212260.5	REG0-10397	PM0-10021	PHOSPHO-ARCA
BS0-7488	622226	REG0-9293 // REG0-9292 // REG0-9287	PM0-4201 // PM00227	CPLX0-7639
BS0-8038	2089731.5	REG0-11031	PM0-10318	CPLX0-3781
BS0-8589	2710391.5	REG0-15281 // REG0-12595	PM0-46585 // PM0-46373	PHOSPHO-RCSB
BS0-7029	4368499	REG0-5813	PM00220	PHOSPHO-NARL
BS0-7217	403640	REG0-6614	PM0-9308	PD01379
BS0-2202	511436	REG0-6359	PM172	CPLX0-7708
BS0-7316	3485861	REG0-5665 // REG0-5661 // REG0-5439	PM0-9554 // PM0-9556 // PM00161	CPLX0-7705
BS0-8869	641907	REG0-14674 // REG0-13210	G6334 // TU0-14246	G7072-MONOMER
BS0-4341	3318394.5	REG0-6163 // REG0-4846	PM0-5741 // PM00672	CPLX0-226
BS0-6964	121656.5	REG0-14989 // REG0-5141	PM0-46520 // PM00324	CPLX0-226
BS0-7430	1764563.5	REG0-9090	PM0-2801	G7326-MONOMER
BS0-7757	348507.5	REG0-10475	PM0-7561	EG10087-MONOMER
BS0-8864	384985	REG0-14657 // REG0-13187	G6217 // TU0-4401	G7072-MONOMER
BS0-8929	1655698	REG0-14800 // REG0-13288	G6841 // TU0-13334	G7072-MONOMER
BS0-7792	229161	REG0-10517	PM0-10442	CPLX0-7756
BS00645	3640079	REG0-5231	PM00451	PD01520
BS0-8726	1420328	REG0-12838	TU0-13231	G6680-MONOMER
BS0-8613	1673539.5	REG0-12614	PM0-46378	PD00288
BS117	1277883.5d0	REG0-14352 // REG0-5395	EG10642 // PM00214	CPLX0-7797
BS0-8279	1103434.5	REG0-15144 // REG0-11575	PM0-46559 // PM00536	PHOSPHO-BASR
BS507	3950201	REG0-4951 // REG0-4946	PM00474 // PM00475	PC00027
BS00529	2850499.5	REG0-5779 // REG0-5777	PM00210 // PM00209	PC00027
BS0-9015	3674592	REG0-13491	TU0-13968	PHOSPHO-ARCA
BS0-8225	2884299	REG0-11478	PM0-10544	PD00519
BS0-8663	3172462	REG0-12702	TU0-13835	PD00365
BS0-8972	1747140	REG0-13374	TU0-13362	EG12386-MONOMER
BS804	4360138	REG0-6047	PM00622	PD00288
BS0-7910	2850545.5	REG0-10802	PM00209	MONOMER0-183
BS0-8419	2001829.5	REG0-12009	PM00563	PD01379
BS0-8615	1673491.5	REG0-12615	PM0-46378	PD00288
BS0-10835	1081287	REG0-16402	TU0-13116	CPLX0-7639
