# Generated from the following BioVelo query on EcoCyc, 12:16pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, x^?associated-binding-site, x^?regulator, Evidence) : x<-ECOLI^^Regulation-of-Transcription-Initiation,  !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Name", "Frame ID", "Associated Binding Site", "Regulators", "Evidence")), 2)
Regulation of gabDTP by ppGpp	REG0-13056		ppGpp	EV-EXP-IEP-MICROARRAY
Regulation of rrsHp by DNA-binding transcriptional dual regulator H-NS	REG0-15223		DNA-binding transcriptional dual regulator H-NS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ytfJ by DNA-binding transcriptional dual regulator Nac	REG0-14818	Nac DNA-binding-site (BS0-10059)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of gadY by DNA-binding transcriptional dual regulator Lrp	REG0-15462	Lrp DNA-binding-site (BS0-10231)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of rplMp by DNA-binding transcriptional dual regulator FNR	REG0-5049	Fnr DNA-binding-site regulating rplMp	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of bssR by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-16397	DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10830)	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ
Regulation of fecR by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-16429	DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10860)	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ
Regulation of araF by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-16502	DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10905)	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ
Regulation of chbBp by ChbR-6-phospho-beta-D-glucosaminyl-(1->4)-N-acetyl-D-glucosamine	REG0-5118	ChbR DNA-binding-site 61 bases upstream of chbBp	ChbR-6-phospho-beta-D-glucosaminyl-(1->4)-N-acetyl-D-glucosamine	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rseDp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-15283	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 23 bases upstream of rseDp1	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of mreBp1 by DNA binding transcriptional dual regulator BolA-phosphorylated	REG0-12985	BolA-phosphate DNA-binding-site 191.5 bases upstream of mreBp1	DNA binding transcriptional dual regulator BolA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ndhp by DNA-binding transcriptional dual regulator IHF	REG0-5799	IHF DNA-binding-site 58 bases upstream of ndhp	DNA-binding transcriptional dual regulator IHF	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rrsAp1 by ppGpp	REG0-11122		ppGpp	EV-EXP-IMP
Regulation of lrpp by DNA-binding transcriptional dual regulator Lrp	REG0-9555	Lrp DNA-binding-site 8 bases downstream of lrpp	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of csgDp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-10807	CpxR-phosphorylated DNA-binding-site 186 bases upstream of csgDp3	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dcuBp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	REG0-4915	NarL-Pasp59 DNA-binding-site 43 bases downstream of dcuBp1	DNA-binding transcriptional dual regulator NarL-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of putPp1 by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	REG0-10269	PutA DNA-binding-site 81.5 bases upstream of putPp1	fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of deoCp2 by DNA-binding transcriptional repressor CytR	REG0-4817	CytR DNA-binding-site 70.5 bases upstream of deoCp2	DNA-binding transcriptional repressor CytR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of bglGp1 by DNA-binding transcriptional dual regulator LeuO	REG0-9418	LeuO DNA-binding-site 118 bases upstream of bglGp1	DNA-binding transcriptional dual regulator LeuO	EV-IC,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of tyrTp by ppGpp	REG0-12804		ppGpp	EV-EXP-IEP
Regulation of ompFp2 by DNA-binding transcriptional dual regulator OmpR-phosphorylated	REG0-15024	OmpR-P DNA-binding-site 70.5 bases upstream of ompFp2	DNA-binding transcriptional dual regulator OmpR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ
Regulation of asrp2 by DNA-binding transcriptional regulator RstA-phosphorylated	REG0-15250	RstA-Pasp52 DNA-binding-site 62 bases upstream of asrp2	DNA-binding transcriptional regulator RstA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of sucAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-5864	ArcA-Pasp54 DNA-binding-site regulating sucAp	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yjjN by DNA-binding transcriptional repressor UxuR	REG0-11216	UxuR DNA-binding-site 132.5 bases downstream of lgoRp4	DNA-binding transcriptional repressor UxuR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dicA by DNA-binding transcriptional dual regulator DicA	REG0-11660	DicA DNA-binding-site regulating dicA	DNA-binding transcriptional dual regulator DicA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ssuEp by DNA-binding transcriptional dual regulator IHF	REG0-6004	IHF DNA-binding-site 134 bases upstream of ssuEp	DNA-binding transcriptional dual regulator IHF	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rrsAp by ppGpp	REG0-14840		ppGpp	EV-EXP-IMP
Regulation of gadEp2 by DNA-binding transcriptional dual regulator GadX	REG0-9064	GadX DNA-binding-site 50.5 bases upstream of gadEp3	DNA-binding transcriptional dual regulator GadX	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of metBp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	REG0-6292	PhoP-Pasp51 DNA-binding-site 20 bases upstream of metBp	DNA-binding transcriptional dual regulator PhoP-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of galPp by DNA-binding transcriptional dual regulator GalS	REG0-6117	GalS DNA-binding-site 61.5 bases upstream of galPp	DNA-binding transcriptional dual regulator GalS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ldtDp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-12488	CpxR-phosphorylated DNA-binding-site 192 bases upstream of ldtDp	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ydgI by ArgR-L-arginine DNA-binding transcriptional dual regulator	REG0-13697	ArgR-arg DNA-binding-site (BS0-9177)	ArgR-L-arginine DNA-binding transcriptional dual regulator	EV-EXP-IEP-MICROARRAY
Regulation of leuO by DNA-binding transcriptional dual regulator Nac	REG0-14553	Nac DNA-binding-site (BS0-9873)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of fimEp by DNA-binding transcriptional dual regulator LrhA	REG0-5135	LrhA DNA-binding-site regulating fimEp	DNA-binding transcriptional dual regulator LrhA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of sfsBp by RcsB-BglJ DNA-binding transcriptional activator	REG0-11981	RcsB-BglJ DNA-binding-site 67.5 bases upstream of sfsBp	RcsB-BglJ DNA-binding transcriptional activator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of cydC by DNA-binding transcriptional dual regulator Lrp	REG0-15430	Lrp DNA-binding-site (BS0-10199)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of fumAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-11585	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 64 bases upstream of manAp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of alaEp by DNA-binding transcriptional dual regulator Lrp-L-leucine	REG0-12676	Lrp-leu DNA-binding-site 9 bases upstream of alaEp	DNA-binding transcriptional dual regulator Lrp-L-leucine	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of uxaBp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-16437	DNA-binding transcriptional dual regulator Fur DNA-binding-site 14 bases upstream of uxaBp	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ
Regulation of treRp3 by DNA-binding transcriptional dual regulator PhoP-phosphorylated	REG0-6374	PhoP-Pasp51 DNA-binding-site 19 bases downstream of treRp4	DNA-binding transcriptional dual regulator PhoP-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of patAp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated	REG0-15176	NtrC-Pasp DNA-binding-site 543 bases upstream of patAp2	DNA-binding transcriptional dual regulator NtrC-phosphorylated	EV-EXP-IEP
Regulation of dnaAp2 by DNA-binding transcriptional dual regulator Fis	REG0-15659	Fis DNA-binding-site 26 bases upstream of dnaAp2	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of mazEp1 by MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor	REG0-11222	MazE DNA-binding-site 21 bases upstream of mazEp1	MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yhhXp5 by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-6340	DNA-binding transcriptional dual regulator Fur DNA-binding-site 18 bases upstream of yhhXp5	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
Regulation of putAp by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	REG0-10266	PutA DNA-binding-site 21.5 bases upstream of putAp	fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yfcC by ArgR-L-arginine DNA-binding transcriptional dual regulator	REG0-13698	ArgR-arg DNA-binding-site (BS0-9178)	ArgR-L-arginine DNA-binding transcriptional dual regulator	EV-EXP-IEP-MICROARRAY
Regulation of oppA by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14080	ArcA-Pasp54 DNA-binding-site (BS0-9494)	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of rhaSp2 by RhaS-L-rhamnose DNA-binding transcriptional activator	REG0-14945	RhaS-rhamnose DNA-binding-site 74 bases upstream of rhaSp2	RhaS-L-rhamnose DNA-binding transcriptional activator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of evgLp2 by DNA-binding transcriptional activator EvgA-phosphorylated	REG0-6095	EvgA-Pasp DNA-binding-site 73.5 bases upstream of emrKp	DNA-binding transcriptional activator EvgA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yhdW by DNA-binding transcriptional dual regulator Lrp	REG0-15629	Lrp DNA-binding-site (BS0-10398)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of focAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-5190	ArcA-Pasp54 DNA-binding-site 114 bases upstream of focAp1	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-MICROARRAY
Regulation of pagPp by DNA-binding transcriptional dual regulator SlyA	REG0-13043	SlyA DNA-binding-site 109.5 bases upstream of pagPp	DNA-binding transcriptional dual regulator SlyA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of creDp by DNA-binding transcriptional regulator CreB-phosphorylated	REG0-9532	CreB-Pasp54 DNA-binding-site 52.5 bases upstream of creDp	DNA-binding transcriptional regulator CreB-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hlyEp by DNA-binding transcriptional dual regulator SlyA	REG0-9257	SlyA DNA-binding-site 90.5 bases downstream of hlyEp	DNA-binding transcriptional dual regulator SlyA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of fdnGp by DNA-binding transcriptional dual regulator FNR	REG0-8997	Fnr DNA-binding-site 97.5 bases upstream of fdnGp	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rsd by DNA-binding transcriptional dual regulator Lrp	REG0-15559	Lrp DNA-binding-site (BS0-10328)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of rsd by NhaR-Na+ DNA-binding transcriptional activator	REG0-16337	NhaR-Na+ DNA-binding-site (BS0-10782)	NhaR-Na+ DNA-binding transcriptional activator	EV-EXP-IEP-QRTPCR
Regulation of tyrBp by DNA-binding transcriptional repressor TyrR-L-tyrosine	REG0-5463	TyrR-tyr DNA-binding-site 42.5 bases downstream of tyrBp	DNA-binding transcriptional repressor TyrR-L-tyrosine	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rrsBp2 by NhaR-Na+ DNA-binding transcriptional activator	REG0-16321	NhaR-Na+ DNA-binding-site regulating rrsBp2	NhaR-Na+ DNA-binding transcriptional activator	EV-EXP-IEP-BETA-GAL
Regulation of micFp2 by DNA-binding transcriptional dual regulator Lrp	REG0-14824	Lrp DNA-binding-site 58.5 bases downstream of micFp2	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis	REG0-6511	Fis DNA-binding-site 5 bases upstream of ptsGp2	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yaiS by DNA-binding transcriptional dual regulator Nac	REG0-13187	Nac DNA-binding-site regulating yaiS	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of bdcA by DNA-binding transcriptional repressor GlaR	REG0-14240	GlaR DNA-binding-site regulating bdcR	DNA-binding transcriptional repressor GlaR	EV-EXP-IEP-RNA-SEQ
Regulation of edap3 by DNA-binding transcriptional dual regulator PhoB-phosphorylated	REG0-6122	PhoB-Pasp53 DNA-binding-site 53 bases upstream of edap3	DNA-binding transcriptional dual regulator PhoB-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of acrE by DNA-binding transcriptional activator ZraR-phosphorylated	REG0-15855	ZraR-Pasp56 DNA-binding-site (BS0-10474)	DNA-binding transcriptional activator ZraR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of gapAp2 by DNA-binding transcriptional dual regulator Cra	REG0-11509	Cra-fructose-1-phosphate DNA-binding-site 725.5 bases upstream of gapAp	DNA-binding transcriptional dual regulator Cra	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of soxSp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-11073		[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of csgBp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-5281	CpxR-phosphorylated DNA-binding-site 8 bases downstream of csgBp2	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of bdcR by DNA-binding transcriptional repressor GlaR	REG0-13349	GlaR DNA-binding-site regulating bdcR	DNA-binding transcriptional repressor GlaR	EV-EXP-IEP-RNA-SEQ
Regulation of aidB by ppGpp	REG0-15716		ppGpp	EV-EXP-IEP-MICROARRAY
Regulation of slyA by DNA-binding transcriptional dual regulator SlyA	REG0-12670	SlyA DNA-binding-site regulating slyA (BS0-8647)	DNA-binding transcriptional dual regulator SlyA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of plaRp by DNA-binding transcriptional repressor PlaR	REG0-10778	PlaR DNA-binding-site 55 bases upstream of plaRp	DNA-binding transcriptional repressor PlaR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rplMp by DksA-ppGpp	REG0-12550		DksA-ppGpp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ptsHp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5273	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of ptsHp1	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI	REG0-16125	YgfI DNA-binding-site regulating yfdPQ (BS0-10661)	DNA-binding transcriptional activator YgfI	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ytfKp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-15985	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 55.5 bases upstream of ytfKp2	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of asnCp by DNA-binding transcriptional dual regulator Nac	REG0-5967	Nac DNA-binding-site 64 bases upstream of asnCp	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of zinTp by DNA-binding transcriptional dual regulator OxyR	REG0-12892	OxyR DNA-binding-site 21.5 bases downstream of zinTp	DNA-binding transcriptional dual regulator OxyR	EV-EXP-IEP-RNA-SEQ
Regulation of ilvLp2 by DNA-binding transcriptional dual regulator IHF	REG0-4947	IHF DNA-binding-site 210 bases downstream of ilvLp1	DNA-binding transcriptional dual regulator IHF	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of argR by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14031	ArcA-Pasp54 DNA-binding-site (BS0-9451)	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of uvrAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-5542	ArcA-Pasp54 DNA-binding-site 7.5 bases upstream of ssbp1	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of cbpAp6 by DNA-binding transcriptional dual regulator Fis	REG0-11759	Fis DNA-binding-site 104 bases downstream of cbpAp	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of tsuA by DNA-binding transcriptional dual regulator Lrp	REG0-15617	Lrp DNA-binding-site (BS0-10386)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of mtrp2 by DNA-binding transcriptional dual regulator IHF	REG0-5480		DNA-binding transcriptional dual regulator IHF	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of csgBp2 by DNA-binding transcriptional dual regulator CsgD	REG0-15001	CsgD DNA-binding-site 38 bases upstream of csgBp2	DNA-binding transcriptional dual regulator CsgD	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ycgB by DNA-binding transcriptional dual regulator Nac	REG0-14712	Nac DNA-binding-site (BS0-9813)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of csrA by ppGpp	REG0-12646		ppGpp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of pstS by DNA-binding transcriptional dual regulator Nac	REG0-14625	Nac DNA-binding-site (BS0-9931)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of gdhA by DNA-binding transcriptional dual regulator Lrp	REG0-15464	Lrp DNA-binding-site (BS0-10233)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of ppiAp2 by DNA-binding transcriptional repressor CytR	REG0-10541	CytR DNA-binding-site 29 bases upstream of ppiAp4	DNA-binding transcriptional repressor CytR	EV-IC,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yhaI by DNA-binding transcriptional dual regulator Nac	REG0-13263	Nac DNA-binding-site regulating yhaI	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of cycA by DNA-binding transcriptional dual regulator H-NS	REG0-16039	H-NS DNA-binding-site (BS0-10583)	DNA-binding transcriptional dual regulator H-NS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of idnK by DNA-binding transcriptional repressor GlaR	REG0-14258	GlaR DNA-binding-site (BS0-9628)	DNA-binding transcriptional repressor GlaR	EV-EXP-IEP-RNA-SEQ
Regulation of nupGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-8998	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of nupGp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yfdV by DNA-binding transcriptional dual regulator Nac	REG0-13251	Nac DNA-binding-site regulating yfdV	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator Fis	REG0-5075	Fis DNA-binding-site 71 bases upstream of rrsBp	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of torI by DNA-binding transcriptional dual regulator Nac	REG0-13175	Nac DNA-binding-site regulating torI	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of ygcP by DNA-binding transcriptional dual regulator Nac	REG0-14759	Nac DNA-binding-site (BS0-10016)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of gadBp2 by DNA-binding transcriptional dual regulator GadX	REG0-15063	GadX DNA-binding-site 17.5 bases upstream of gadBp2	DNA-binding transcriptional dual regulator GadX	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of adhEp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	REG0-4893	NarL-Pasp59 DNA-binding-site 90 bases downstream of adhEp	DNA-binding transcriptional dual regulator NarL-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of trxB by DNA-binding transcriptional dual regulator Nac	REG0-14670	Nac DNA-binding-site (BS0-9878)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of grxAp by DNA-binding transcriptional dual regulator OxyR	REG0-4871	OxyR DNA-binding-site 72 bases upstream of ybjCp	DNA-binding transcriptional dual regulator OxyR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of micF by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14071	ArcA-Pasp54 DNA-binding-site (BS0-9485)	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of yoaC by ppGpp	REG0-13018		ppGpp	EV-EXP-IEP-MICROARRAY
Regulation of csiEp2 by DNA-binding transcriptional dual regulator H-NS	REG0-14925	H-NS DNA-binding-site regulating csiEp2	DNA-binding transcriptional dual regulator H-NS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of trgp by DNA-binding transcriptional dual regulator Fis	REG0-10566	Fis DNA-binding-site 60 bases upstream of trgp	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of gspCp2 by DNA-binding transcriptional dual regulator H-NS	REG0-5399	H-NS DNA-binding-site regulating gspCp2	DNA-binding transcriptional dual regulator H-NS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of feaBp1 by DNA-binding transcriptional dual regulator NsrR	REG0-9639	NsrR DNA-binding-site 184 bases upstream of feaBp1	DNA-binding transcriptional dual regulator NsrR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	REG0-5282	Lrp DNA-binding-site 119 bases upstream of dadAp3	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ
Regulation of cydAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-5503	ArcA-Pasp54 DNA-binding-site 84 bases upstream of cydAp1	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
