,0,no change (without binary_idx),add diversity,remove efficiency and add diversity,kinetic,is_new
BRANCHED-CHAINAMINOTRANSFERLEU-RXN__BRANCHED-CHAINAMINOTRANSFER-CPLX,-4.0,-4.0,4.342727685957931e-05,1.7708527477338627,1.7708527477338627,Old Reactions
BRANCHED-CHAINAMINOTRANSFERVAL-RXN,-4.0,-4.0,4.342727686266486e-05,1.9294194366486768,1.9294194366486768,Old Reactions
BRANCHED-CHAINAMINOTRANSFERVAL-RXN (reverse),4.209098685876446,4.209098685876446,4.209125519047304,4.342727686266486e-05,False,Old Reactions
BTUR2-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
BUTYRYL-COA-DEHYDROGENASE-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
BUTYRYL-COA-DEHYDROGENASE-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
CARBOXYLATE-REDUCTASE-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
CARBOXYLESTERASE-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CARBPSYN-RXN,-4.0,-4.0,-3.9999999921002294,-4.0,4.05910882170391,Old Reactions
CARDIOLIPSYN-RXN-CPD-18362//CPD-18374/GLYCEROL.30.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CARDIOLIPSYN-RXN-CPD-18373//CPD-18375/GLYCEROL.30.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CARDIOLIPSYN-RXN-CPD-8260//CPD-12824/GLYCEROL.29.,2.581303934554844,2.581303934554844,2.581303934554844,2.581303934554844,False,Old Reactions
CARNDETRU-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,New Reactions
CARNDETRU-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,New Reactions
CATAL-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
CATAL-RXN__CPLX0-1683,0.5560128745598856,0.4960405667478004,4.342727686266486e-05,0.6324674154812341,3.7292458153263044,Old Reactions
CATAL-RXN__HYDROPEROXIDI-CPLX,0.4301718414562666,0.4992225221532707,0.632467420811794,4.342727686266486e-05,6.217110553726827,Old Reactions
CDPDIGLYPYPHOSPHA-RXN-CPD-12814/WATER//CPD0-1423/CMP/PROTON.38.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYPYPHOSPHA-RXN-CPD-12815/WATER//CPD0-1422/CMP/PROTON.38.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYPYPHOSPHA-RXN-CPD-18355/WATER//CPD-18353/CMP/PROTON.38.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYPYPHOSPHA-RXN-CPD-18356/WATER//CPD-18352/CMP/PROTON.38.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYPYPHOSPHA-RXN-CPD-18357/WATER//CPD-18351/CMP/PROTON.38.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYPYPHOSPHA-RXN-CPD-18358/WATER//CPD-18350/CMP/PROTON.38.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYPYPHOSPHA-RXN-CPD-18387/WATER//CPD-18380/CMP/PROTON.38.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYPYPHOSPHA-RXN-CPD-18388/WATER//CPD0-1425/CMP/PROTON.38.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYPYPHOSPHA-RXN-CPD-18391/WATER//CPD-18390/CMP/PROTON.38.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYSYN-RXN-CTP/CPD-18350/PROTON//CPD-18358/PPI.36.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYSYN-RXN-CTP/CPD-18351/PROTON//CPD-18357/PPI.36.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYSYN-RXN-CTP/CPD-18352/PROTON//CPD-18356/PPI.36.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYSYN-RXN-CTP/CPD-18353/PROTON//CPD-18355/PPI.36.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYSYN-RXN-CTP/CPD-18380/PROTON//CPD-18387/PPI.36.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYSYN-RXN-CTP/CPD-18390/PROTON//CPD-18391/PPI.36.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYSYN-RXN-CTP/CPD0-1422/PROTON//CPD-12815/PPI.36.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYSYN-RXN-CTP/CPD0-1423/PROTON//CPD-12814/PPI.36.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPDIGLYSYN-RXN-CTP/CPD0-1425/PROTON//CPD-18388/PPI.36.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CDPKIN-RXN,3.287382926386403,3.274484209400856,3.243181986600242,3.2863149978611372,False,Old Reactions
CDPREDUCT-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
CDPREDUCT-RXN-DCDP/Ox-thioredoxins-1/WATER//CDP/Red-thioredoxins-1.53. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
CDPREDUCT-RXN-DCDP/Oxidized-CcmG-Proteins/WATER//CDP/Reduced-CcmG-Proteins.61. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
CDPREDUCT-RXN-DCDP/Oxidized-CcmH-Proteins/WATER//CDP/Reduced-CcmH-Proteins.61. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
CHD-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
CHD-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
CHEBDEAMID-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CHEBDEP-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
CHEBTAPD-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CHEBTARD-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CHEBTRGD-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CHEBTSRD-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CHER-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CHERTAPM-RXN,-4.0,-3.9999999999980713,-4.0,-4.0,False,Old Reactions
CHERTARM-RXN,-4.0,-3.9999999999980713,-4.0,-4.0,False,Old Reactions
CHERTRGM-RXN,-4.0,-3.9999999999980713,-4.0,-4.0,False,Old Reactions
CHERTSRM-RXN,-4.0,-3.9999999999980713,-4.0,-4.0,False,Old Reactions
CHEYDEPHOS-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CHORISMATE-SYNTHASE-RXN,4.167925146030303,4.167923302118669,4.16792330205169,4.167923302118669,False,Old Reactions
CHORISMATEMUT-RXN__CHORISMUTPREPHENDEHYDRAT-CPLX,3.748501427983225,3.659336941111298,4.099268507954675,4.099268507982587,4.239249415980151,Old Reactions
CHORISMATEMUT-RXN__CHORISMUTPREPHENDEHYDROG-CPLX,3.842921594648893,3.9033699662323835,4.342728002225714e-05,4.342727686266486e-05,4.70762126741259,Old Reactions
CHORPYRLY-RXN,1.3225831224312903,1.322376439540977,1.3223764377526532,1.322376439540977,1.9138143820108107,Old Reactions
CITC-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CITLY-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CITRYLY-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CITSYN-RXN,5.327554210793254,5.327553943016791,5.327553942825144,5.327553943017315,3.356408346154055,Old Reactions
CITTRANS-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
COBALADENOSYLTRANS-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
COBALAMIN5PSYN-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
COBINAMIDEKIN-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
COBINPGUANYLYLTRANS-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CPM-KDOSYNTH-RXN,-4.0,-4.0,-4.0,-4.0,3.7131544102440825,Old Reactions
CPXA-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CPXR-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CREB-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CREC-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CROBETREDUCT-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,New Reactions
CTPSYN-RXN,-4.0,-4.0,-4.000000001974943,-4.0,3.473924707999585,Old Reactions
CYSTATHIONINE-BETA-LYASE-RXN,3.7590456102990877,3.7590507158183737,3.7588994157173907,4.342727686266486e-05,False,Old Reactions
CYSTEINE-AMINOTRANSFERASE-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
CYSTEINE-AMINOTRANSFERASE-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
CYTD-RED-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CYTD-RED-RXN-Cytochromes-B561-Red/Cytochromes-D-Oxidized//Cytochromes-B561-Ox/Cytochromes-D-Reduced.87.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CYTD-RED-RXN-FERROCYTOCHROME-B5/Cytochromes-D-Oxidized//FERRICYTOCHROME-B5/Cytochromes-D-Reduced.84.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CYTDEAM-RXN,-4.0,-4.0,-4.0,-4.0,2.6106602695345926,Old Reactions
CYTIDEAM-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CYTIDEAM2-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CYTIDINEKIN-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
CYTIKIN-RXN,-1.279014255846261,-4.0,-4.0,-4.0,False,Old Reactions
D--TARTRATE-DEHYDRATASE-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
D--TARTRATE-DEHYDRATASE-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
D-PPENTOMUT-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
D-PPENTOMUT-RXN (reverse),3.210949594310304,3.2109736415483625,3.211240743490968,3.211240743531131,False,Old Reactions
DADPKIN-RXN,-4.0,-4.0,0.532448702912253,0.5324486095722842,False,Old Reactions
DAHPSYN-RXN__AROF-CPLX,3.862560248049815,3.6519913103445747,4.16795059114495,4.1679505912114125,4.200959881126009,Old Reactions
DAHPSYN-RXN__AROG-CPLX,3.8712976258482787,4.010091499883878,4.3427277652562924e-05,4.3447984040097047e-05,5.075725752089692,Old Reactions
DAHPSYN-RXN__AROH-CPLX,-4.0,-4.0,4.342727686266486e-05,4.092931079179886,4.092931079179886,Old Reactions
DALADALALIG-RXN__DALADALALIGA-MONOMER,0.9633202370892565,0.844314230968499,4.342727686266486e-05,4.342727686266486e-05,3.423573536108847,Old Reactions
DALADALALIG-RXN__DALADALALIGB-CPLX,0.6864217498793675,0.8488245154780787,1.1155306384255186,1.115530634079463,3.0261245576394673,Old Reactions
DALADEHYDROG-RXN-D-ALANINE/CPD-9728/WATER//AMMONIUM/PYRUVATE/REDUCED-MENAQUINONE.64.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DALADEHYDROG-RXN-D-ALANINE/UBIQUINONE-8/WATER//AMMONIUM/PYRUVATE/CPD-9956.57.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DAPASYN-RXN,0.4475611176714264,0.4475611176714264,0.4475611176714265,0.4475611176714264,1.1760941543425762,Old Reactions
DARAB5PISOM-RXN__CPLX0-1262,-4.0,-4.0,4.342727656645308e-05,3.292920321724024,3.292920321724024,Old Reactions
DARAB5PISOM-RXN__CPLX0-1262 (reverse),-4.0,-4.0,4.342727686266486e-05,3.3832766683759776,3.4003652906249777,Old Reactions
DARAB5PISOM-RXN__CPLX0-3929,-4.0,-4.0,4.342727686266486e-05,3.0374265377841523,3.0374265377841523,Old Reactions
DARAB5PISOM-RXN__CPLX0-3929 (reverse),-4.0,-4.0,4.342727656645308e-05,2.8034571839337046,2.8034571839337046,Old Reactions
DARABALDOL-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DARABISOM-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12047//CPD-24935.21.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12047//CPD-24935.21. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12047//CPD-24936.21.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12047//CPD-24936.21. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12047//CPD-24939.21.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12047//CPD-24939.21. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12047//D-RIBULOSE.22.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12047//D-RIBULOSE.22. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12049//CPD-24935.21.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12049//CPD-24935.21. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12049//CPD-24936.21.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12049//CPD-24936.21. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12049//CPD-24939.21.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12049//CPD-24939.21. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12049//D-RIBULOSE.22.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-CPD-12049//D-RIBULOSE.22. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-D-arabinopyranose//CPD-24935.29.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-D-arabinopyranose//CPD-24935.29. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-D-arabinopyranose//CPD-24936.29.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-D-arabinopyranose//CPD-24936.29. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-D-arabinopyranose//CPD-24939.29.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABISOM-RXN-D-arabinopyranose//CPD-24939.29. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DARABKIN-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DCDPKIN-RXN,0.5321298706718501,1.777839182423174,2.280555835952349,0.9030954156390384,False,Old Reactions
DCTP-DEAM-RXN,-4.0,-4.0,-4.0,-4.0,1.1461311377706014,Old Reactions
DCTP-PYROPHOSPHATASE-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DCUS-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DCYSDESULF-RXN,-4.0,-4.0,-4.000000003949885,-4.0,3.8529676971216142,Old Reactions
DEHYDDEOXGALACTKIN-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
DEHYDDEOXPHOSGALACT-ALDOL-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
DEHYDDEOXPHOSGALACT-ALDOL-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
DEOXYADENPHOSPHOR-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DEOXYGLUCONOKIN-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DEOXYGUANPHOSPHOR-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DEOXYINOPHOSPHOR-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DEOXYRIBOSE-P-ALD-RXN,-4.0,-4.0,4.342727686266486e-05,4.634819735002028,4.634819735002028,Old Reactions
DEOXYRIBOSE-P-ALD-RXN (reverse),3.2218535528867642,3.2218770038962474,3.222137485456286,4.651285527809326,False,Old Reactions
DEPHOSICITDEHASE-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DEPHOSPHOCOAKIN-RXN,2.4571020393712817,2.457018654617006,2.4570186521115582,2.457018654707497,False,Old Reactions
DETHIOBIOTIN-SYN-RXN,0.4475611176714264,0.4475611176714264,0.2558993667304596,4.342727686266486e-05,False,Old Reactions
DGDPKIN-RXN,2.2348084871139258,2.0616062580623744,4.342727686266486e-05,2.264322113938915,False,Old Reactions
DGTPTRIPHYDRO-RXN,-4.0,-4.0,-4.0,-4.0,4.270376007542303,Old Reactions
DHBAMPLIG-RXN,-4.0,-4.0,4.342727686266486e-05,1.5759967730939113,3.700444109684209,Old Reactions
DHBDEHYD-RXN,1.7818278706553217,1.7817022510867286,1.7817022530938051,1.7817022510867286,4.299594456103585,Old Reactions
DHDOGALDOL-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
DHDOGALDOL-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
DHHB-METHYLTRANSFER-RXN,1.1426271991706578,1.142627199170658,1.142627199170658,1.142627199170658,False,Old Reactions
DIACYLGLYKIN-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DIAMACTRANS-RXN-SPERMINE/ACETYL-COA//N1-ACETYLSPERMINE/CO-A/PROTON.51.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DIAMINOPIMDECARB-RXN,4.134618196212615,4.134618196212615,4.134618196200542,4.134618196212615,False,Old Reactions
DIAMINOPIMEPIM-RXN,4.134618196212615,4.134618196212615,4.134650049189314,4.27216291433688,3.752125314983166,Old Reactions
DIAMINOPIMEPIM-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,3.705863720833023,3.705863720833023,Old Reactions
DIENOYLCOAREDUCT-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,New Reactions
DIHYDRODIPICSYN-RXN,4.135087472855903,4.1350871546582315,4.135087154640267,4.1350871546582315,4.577434350826567,Old Reactions
DIHYDROFOLATESYNTH-RXN,1.4138879268761417,1.4134690891479558,1.4134690681954163,1.4134690891480934,False,Old Reactions
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN,1.4138879268761417,1.4134690891479558,1.3963754491935614,1.3963754709873704,False,Old Reactions
DIHYDROOROT-RXN,-4.0,-4.0,4.342726422429572e-05,5.348347706325115,5.348347706325115,Old Reactions
DIHYDROOROT-RXN (reverse),4.4020608744429,4.40206010009462,4.402077307521662,5.394907276034672,5.038910124970027,Old Reactions
DIHYDROOROTATE-DEHYDROGENASE-RXN-DI-H-OROTATE/CPD-9728//OROTATE/REDUCED-MENAQUINONE.51.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DIHYDROOROTATE-DEHYDROGENASE-RXN-DI-H-OROTATE/UBIQUINONE-8//OROTATE/CPD-9956.44.,4.39746958851965,4.096439116352795,4.397416935274195,4.342727686266486e-05,False,Old Reactions
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN,-4.0,-4.0,4.34272817966351e-05,0.3010517098452264,0.3010517098452264,Old Reactions
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN (reverse),-4.0,-4.0,4.34272817966351e-05,0.3010517098452264,0.3010517098452264,Old Reactions
DIHYDROXYISOVALDEHYDRAT-RXN,4.659854734973644,4.659854307270637,4.659854307248649,4.659854307270184,False,Old Reactions
DIHYDROXYMETVALDEHYDRAT-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DIMESULFREDUCT-RXN-CPD-7670/CPD-9728/WATER//DMSO/REDUCED-MENAQUINONE.50. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DIMETHUROPORDEHYDROG-RXN,1.1427053723964966,1.1427053723964966,1.1427053723964966,1.1427053723964966,False,Old Reactions
DIOHBUTANONEPSYN-RXN,1.8259133707224378,1.8262374706133775,1.826237474265457,1.8262374706133773,False,Old Reactions
DISULFOXRED-RXN[CCO-CYTOSOL]-MONOMER0-4152/DISULFOXRED-MONOMER//DISULFOXRED-MONOMER/MONOMER0-4152.82.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-CYTOSOL]-MONOMER0-4152/DISULFOXRED-MONOMER//DISULFOXRED-MONOMER/MONOMER0-4152.82. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-CYTOSOL]-MONOMER0-4152/Protein-Red-Disulfides//DISULFOXRED-MONOMER/Protein-Ox-Disulfides.93.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-CYTOSOL]-MONOMER0-4152/Protein-Red-Disulfides//DISULFOXRED-MONOMER/Protein-Ox-Disulfides.93. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-CYTOSOL]-Oxidized-Disulfide-Carrier-Proteins/DISULFOXRED-MONOMER//Reduced-Disulfide-Carrier-Proteins/MONOMER0-4152.119.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-CYTOSOL]-Oxidized-Disulfide-Carrier-Proteins/DISULFOXRED-MONOMER//Reduced-Disulfide-Carrier-Proteins/MONOMER0-4152.119. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-CYTOSOL]-Oxidized-Disulfide-Carrier-Proteins/Protein-Red-Disulfides//Reduced-Disulfide-Carrier-Proteins/Protein-Ox-Disulfides.130.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-CYTOSOL]-Oxidized-Disulfide-Carrier-Proteins/Protein-Red-Disulfides//Reduced-Disulfide-Carrier-Proteins/Protein-Ox-Disulfides.130. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-PERI-BAC]-MONOMER0-4152/DISULFOXRED-MONOMER//DISULFOXRED-MONOMER/MONOMER0-4152.83.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-PERI-BAC]-MONOMER0-4152/DISULFOXRED-MONOMER//DISULFOXRED-MONOMER/MONOMER0-4152.83. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-PERI-BAC]-MONOMER0-4152/Protein-Red-Disulfides//DISULFOXRED-MONOMER/Protein-Ox-Disulfides.94.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-PERI-BAC]-MONOMER0-4152/Protein-Red-Disulfides//DISULFOXRED-MONOMER/Protein-Ox-Disulfides.94. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-PERI-BAC]-Oxidized-Disulfide-Carrier-Proteins/DISULFOXRED-MONOMER//Reduced-Disulfide-Carrier-Proteins/MONOMER0-4152.120.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-PERI-BAC]-Oxidized-Disulfide-Carrier-Proteins/DISULFOXRED-MONOMER//Reduced-Disulfide-Carrier-Proteins/MONOMER0-4152.120. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-PERI-BAC]-Oxidized-Disulfide-Carrier-Proteins/Protein-Red-Disulfides//Reduced-Disulfide-Carrier-Proteins/Protein-Ox-Disulfides.131.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DISULFOXRED-RXN[CCO-PERI-BAC]-Oxidized-Disulfide-Carrier-Proteins/Protein-Red-Disulfides//Reduced-Disulfide-Carrier-Proteins/Protein-Ox-Disulfides.131. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
DLACTDEHYDROGFAD-RXN-D-LACTATE/UBIQUINONE-8//PYRUVATE/CPD-9956.42.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DLACTDEHYDROGNAD-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DMBPPRIBOSYLTRANS-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DMK-RXN,1.4437728862113708,1.443733804733851,1.4437338028692694,1.443733804733851,False,Old Reactions
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DNA-LIGASE-NAD+-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DSBD-RXN-an-oxidized-DsbG-protein/a-reduced-DsbD-protein//a-reduced-DsbG-protein/an-oxidized-DsbD-protein.97.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DSBDC-RXN-a-reduced-DsbD-protein/an-oxidized-DsbC-protein//an-oxidized-DsbD-protein/a-reduced-DsbC-protein.97.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DSERDEAM-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DTDPDEHYDRHAMEPIM-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DTDPDEHYRHAMREDUCT-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
DTDPGLUCDEHYDRAT-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
