# Generated by /Users/albertzhang/devViv/vivarium-ecoli/reconstruction/ecoli/scripts/tf_binding_sites/convert_to_flat.py on Wed Aug 14 12:56:11 2024
"binding_site_id"	"coordinates"	"binding_TFs"	"regulated_TUs_or_genes"
"BS0-7637"	2081286	["PC00010"]	["TU0-14637"]
"BS00016"	290362	["CPLX0-228"]	["TU00005"]
"BS465"	4200008	["CPLX0-7705"]	["TU486"]
"BS0-7742"	2512788	["PD00214"]	["TU0-7321"]
"BS0-1421"	656116	["CPLX0-7797"]	["TU0-1603"]
"BS0-8300"	1100204	["CPLX0-226"]	["TU0-13121"]
"BS0-7139"		["PD00288"]	["TU00409"]
"BS0-6948"	1764563	["PC00027"]	["TU0-2621"]
"BS748"	1165975	["PC00027"]	["TU00158"]
"BS0-10463"		["CPLX0-7756"]	["TU00302"]
"BS0-8303"	887388	["CPLX0-8597"]	["TU0-13069", "TU0-8671"]
"BS0-8352"	1880874	["MONOMER0-155"]	["TU0-42526"]
"BS0-8812"	3875295	["CPLX0-8578"]	["TU0-14018"]
"BS0-881"	4516753	["CPLX0-7639"]	["TU00151"]
"BS0-8227"	84109	["PD00519"]	["TU0-42477"]
"BS00663"	3105558	["CPLX0-226"]	["TU00129"]
"BS0-7187"	1657962	["CPLX0-7797"]	["TU0-5481", "TU0-45246"]
"BS0-5261"	4166317	["PD00288"]	["TU0-1182", "TU0-45275"]
"BS343"	2312860	["PD00353"]	["TU00477"]
"BS-7048"	3169754	["MONOMER0-2741"]	["TU-8387"]
"BS00314"		["CPLX0-226"]	["TU00122"]
"BS603"	3772324	["CPLX0-7705"]	["TU00193"]
"BS0-7242"	3410025	["CPLX0-7705"]	["TU00021"]
"BS0-3242"	4223706	["PD01520"]	["TU0-4288"]
"BS0-8541"	3719912	["PD00288"]	["TU0-1581"]
"BS0-10846"		["CPLX0-7639"]	["TU0-8458"]
"BS0-10656"	246366	["G7518-MONOMER"]	["G6111", "TU0-12849"]
"BS0-3901"	3867012	["PC00027"]	["TU0-5001"]
"BS0-8420"	89593	["EG11084-MONOMER"]	["TU0-941"]
"BS0-8202"	3051086	["CPLX0-226"]	["TU00170"]
"BS0-7549"	4611143	["CPLX0-7705"]	["TU0-45234", "TU0-1981"]
"BS0-7357"	1810168	["PC00010"]	["TU0-8261"]
"BS0-7702"	1400358	["PHOSPHO-NARL"]	["TU0-14739"]
"BS0-4401"	4252442	["CPLX0-7797"]	["TU00369"]
"BS525"	1298352	["CPLX0-7797"]	["TU546"]
"BS0-4121"	4494476	["CPLX0-226"]	["TU0-4682", "TU0-4681"]
"BS0-1921"	1031974	["PHOSPHO-NARL"]	["TU00288", "TU0-45171"]
"BS0-3926"	3246614	["PD03270"]	["TU0-42612"]
"BS0-7985"		["CPLX0-7852"]	["TU0-8863"]
"BS0-2964"	4132554	["CPLX0-7796"]	["TU00218"]
"BS00143"	1279682	["PC00027"]	["TU00044"]
"BS00785"	2999131	["CPLX0-7705"]	["TU00516"]
"BS0-8276"	4591429	["MONOMER0-4276"]	["TU0-42491"]
"BS00685"	1978540	["PHOSPHO-OMPR"]	["TU00136"]
"BS0-8344"	1361130	["EG12431-MONOMER"]	["TU0-13209", "TU0-13210"]
"BS109"	1279706	["PHOSPHO-NARL"]	["TU00044"]
"BS0-7850"	638640	["PD00214"]	["TU0-14761"]
"BS0-8931"	3287391	["G7072-MONOMER"]	["TU0-13873"]
"BS0-4203"	422422	["MONOMER0-158"]	["TU0-5402"]
"BS0-7617"	1726000	["G6889-MONOMER"]	["TU0-14687", "TU0-42534"]
"BS0-4208"	3493890	["CPLX0-7705"]	["TU00046"]
"BS00382"	1547330	["CPLX0-7797"]	["TU00157"]
"BS0-6341"	2483522	["PHOSPHO-EVGA"]	["TU0-7541", "TU0-3101", "TU0-7561"]
"BS0-2568"	223414	["CPLX0-7705"]	["TU0-45269", "TU0-1189"]
"BS00701"	3492490	["CPLX0-226"]	["TU00465", "TU00464"]
"BS0-7540"	4442301	["CPLX0-7705"]	["TU241"]
"BS0-7861"	4158461	["PD00214"]	["TU0-8485", "TU0-45266", "TU00051"]
"BS0-7000"	1103366	["CPLX0-7748"]	["TU00392", "TU0-45257"]
"BS00376"	3756564	["CPLX0-7705"]	["TU00138"]
"BS0-4065"	406328	["CPLX-125"]	["TU00011"]
"BS0-8958"	4391547	["EG12386-MONOMER"]	["TU0-14151", "TU0-14150"]
"BS0-8234"	3656784	["EG11356-MONOMER"]	["TU0-45242", "TU00282"]
"BS0-8423"	3926529	["EG11084-MONOMER"]	["TU0-14030"]
"BS0-3355"	4058164	["CPLX0-226"]	["TU0-5903", "TU00029"]
"BS0-8889"	1806364	["G7072-MONOMER"]	["EG10700", "TU0-41842"]
"BS0-7556"	84092	["PD00288"]	["TU0-42477", "TU0-12807"]
"BS0-5643"	913954	["PHOSPHO-NARP"]	["TU0-7021", "TU0-42650"]
"BS784"		["PD00353"]	["TU00095", "TU0-45191"]
"BS0-3485"	770855	["PHOSPHO-ARCA"]	["TU00100"]
"BS0-8904"	3113140	["G7072-MONOMER"]	["TU0-13813"]
"BS0-8779"	4242335	["MONOMER0-165"]	["TU0-14113"]
"BS0-8807"		["PHOSPHO-ARCA"]	["TU0-42483"]
"BS0-4221"	2832298	["CPLX0-7797"]	["TU0-4441"]
"BS0-7379"	3790208	["PHOSPHO-PHOB"]	["TU0-13999"]
"BS0-8018"	4163472	["EG12243-MONOMER"]	["TU0-6281"]
"BS0-6083"	1065326	["CPLX0-226"]	["TU0-7401"]
"BS00162"	987142	["PHOSPHO-OMPR"]	["TU00050", "TU0-45229"]
"BS0-7626"	2634100	["CPLX0-7705"]	["TU00205"]
"BS0-8041"	1592472	["EG10442-MONOMER"]	["TU00284"]
"BS00024"	2741230	["MONOMER0-162"]	["TU00008"]
"BS770"	131490	["CPLX0-7705"]	["TU796"]
"BS0-7641"	712024	["PC00010"]	["TU0-8265"]
"BS0-7039"	2313181	["CPLX0-7748"]	["TU00049"]
"BS00014"	4154882	["CPLX0-228"]	["TU00004", "TU00226"]
"BS0-7833"	1988626	["PD00288"]	["TU0-13449"]
"BS0-2082"	2405534	["CPLX0-7705"]	["TU00448"]
"BS0-7701"	1400334	["PHOSPHO-NARL"]	["TU0-14739"]
"BS0-8058"	1067872	["PD01379"]	["TU0-13114"]
"BS0-7116"	461702	["CPLX0-7748"]	["TU0-6622"]
"BS0-8750"	3653952	["EG12243-MONOMER"]	["TU00096"]
"BS00091"	2352624	["PD03576"]	["TU00216", "TU00030"]
"BS0-1222"	1103866	["CPLX0-7748"]	["TU00390", "TU0-45224"]
"BS0-2565"	2731539	["CPLX0-7705"]	["TU0-45198", "TU0-1187"]
"BS0-2842"	4330366	["CPLX0-7705"]	["TU0-3882"]
"BS0-7956"	3216553	["CPLX0-7639"]	["TU0-8327"]
"BS00173"	417070	["PHOSPHO-PHOB"]	["TU00053", "TU0-12917"]
"BS00210"	4273964	["PC00010"]	["TU00065", "TU00069"]
"BS0-1161"	4166296	["CPLX0-7705"]	["TU0-1182", "TU0-45275"]
"BS0-8409"	1477532	["CPLX0-7916"]	["TU0-13250"]
"BS0-7908"	17424	["MONOMER0-46"]	["TU00200"]
"BS00225"	2532324	["PC00040"]	["TU00079"]
"BS00776"	697230	["CPLX0-7705"]	["TU00507"]
"BS0-7770"	1165997	["CPLX0-7756"]	["TU00158"]
"BS0-8462"	4112814	["G6789-MONOMER"]	["TU0-3465"]
"BS0-7320"	624849	["CPLX0-7639"]	["TU00166"]
"BS0-7624"	624556	["PD01352"]	["TU00164"]
"BS-7099"	2344618	["CPLX0-226"]	["TU00047"]
"BS0-7903"	4605756	["CPLX0-7639"]	["TU0-7701"]
"BS0-8248"	771262	["PC00061"]	["TU0-3163"]
"BS0-3041"		["PD00288"]	["TU0-4001"]
"BS0-8851"	2941111	["G7072-MONOMER"]	["TU0-14306"]
"BS0-8383"		["EG11554-MONOMER"]	["TU0-45172", "TU0-14689", "TU0-45173", "TU0-36423"]
"BS0-8099"		["CPLX0-7797"]	["TU0-8359"]
"BS00190"	1004674	["CPLX-123"]	["TU00061"]
"BS00145"	1277738	["PHOSPHO-NARL"]	["TU00045"]
"BS0-7775"	1764486	["CPLX0-7756"]	["TU0-2621"]
"BS0-3821"	511584	["EG12243-MONOMER"]	["TU0-3123"]
"BS764"	131462	["PHOSPHO-ARCA"]	["TU796"]
"BS0-4602"	4097594	["CPLX0-226"]	["TU00219"]
"BS0-6990"	4287592	["PHOSPHO-NARP"]	["TU00199"]
"BS0-7913"	1212158	["PHOSPHO-PHOP"]	["TU0-13156", "TU0-36425"]
"BS0-8313"	1671268	["CPLX0-8597"]	["TU0-45276", "TU0-1701"]
"BS00659"	2405202	["CPLX0-7797"]	["TU00310"]
"BS0-7008"	3490211	["PHOSPHO-PHOP"]	["TU00111"]
"BS00690"	329423	["PHOSPHO-ARCA"]	["TU00116"]
"BS0-7915"	1103530	["CPLX0-7748"]	["TU00392", "TU0-45257"]
"BS0-8382"		["PD00353"]	["TU0-45172", "TU0-14689", "TU0-45173", "TU0-36423"]
"BS0-1743"	3667685	["EG12243-MONOMER"]	["TU0-45268", "TU586"]
"BS00765"	3756583	["CPLX0-7705"]	["TU00138"]
"BS0-3021"	2665358	["CPLX0-226"]	["TU0-45197", "TU0-3982"]
"BS0-7498"	2352522	["CPLX0-7705"]	["TU00216", "TU00030"]
"BS0-8583"	331684	["CPLX0-8109"]	["TU0-14408"]
"BS0-3463"	1166027	["PHOSPHO-ARCA"]	["TU00158"]
"BS0-2163"	1453894	["CPLX0-7731"]	["TU5"]
"BS0-6701"	2587444	["PHOSPHO-EVGA"]	["TU0-8021"]
"BS0-8460"	1031923	["G6789-MONOMER"]	["TU00288", "TU0-45171"]
"BS00356"	4016330	["CPLX0-7740"]	["TU00134"]
"BS0-7993"		["PD00288"]	["TU00118"]
"BS0-8228"	84050	["PD00519"]	["TU0-42477"]
"BS00125"	4214252	["CPLX0-7796"]	["TU00041"]
"BS0-2744"	4287616	["PC00027"]	["TU0-3723", "TU0-45241", "TU00199", "TU0-3721"]
"BS00736"	1058030	["PHOSPHO-TORR"]	["TU00212"]
"BS0-7604"	848948	["PD00288"]	["TU0-45200", "TU00176"]
"BS0-8677"	1488029	["PD04418"]	["TU102"]
"BS0-7603"	848960	["CPLX0-7705"]	["TU0-45200", "TU00176"]
"BS00258"	4267100	["MONOMER0-162"]	["TU00087"]
"BS0-7746"		["G6761-MONOMER"]	["TU0-13056"]
"BS0-8785"	813242	["PC00010"]	["TU00070"]
"BS0-8294"	1688378	["CPLX0-226"]	["TU00104", "TU0-42499"]
"BS00106"	366333	["PD00763"]	["TU00036"]
"BS00783"	2518329	["CPLX0-7705"]	["TU00514"]
"BS00189"	1122666	["CPLX-123"]	["TU00060"]
"BS00319"	754874	["CPLX0-226"]	["TU00524", "TU00106"]
"BS0-8787"	813314	["MONOMER0-160"]	["TU00070"]
"BS524"	1298324	["PHOSPHO-NARL"]	["TU546", "TU00198", "TU0-45181"]
"BS0-6524"	703206	["PHOSPHO-PHOP"]	["TU0-7805"]
"BS0-4204"	1157767	["PHOSPHO-ARCA"]	["TU0-1141"]
"BS0-1761"	1572090	["EG12243-MONOMER"]	["TU0-45231", "TU369"]
"BS0-7940"	1586630	["PHOSPHO-PHOP"]	["TU0-7741"]
"BS0-7754"	2839358	["CPLX0-226"]	["TU00241"]
"BS0-7857"	2718640	["PD00214"]	["TU0-3104"]
"BS0-7451"	4432059	["PHOSPHO-NARL"]	["TU-8441"]
"BS0-5721"	2352136	["PD03576"]	["TU00216"]
"BS0-5461"	366320	["PD00288"]	["TU00036"]
"BS0-8161"	3884030	["CPLX0-7669"]	["TU00259"]
"BS0-6989"	4287592	["PHOSPHO-NARL"]	["TU00199"]
"BS00227"	2461188	["PD01520"]	["TU00080"]
"BS0-8981"	676686	["PD00519"]	["TU0-8561"]
"BS0-10771"		["MONOMER0-46"]	["TU0-1183"]
"BS0-8597"	2710452	["PC00027"]	["TU0-42636"]
"BS0-7681"	2308946	["MONOMER0-155"]	["TU0-13560"]
"BS0-7537"	1230448	["CPLX0-7705"]	["TU581"]
"BS0-8545"	3719817	["CPLX0-7705"]	["TU0-1581"]
"BS0-2566"	2731560	["CPLX0-7705"]	["TU0-45198", "TU0-1187"]
"BS0-7665"	3088048	["MONOMER-53"]	["TU0-7081"]
"BS0-8478"	914930	["CPLX0-228"]	["TU0-13076"]
"BS0-7870"		["EG12243-MONOMER"]	["TU0-13221"]
"BS0-8506"	70224	["MONOMER0-165"]	["TU00003"]
"BS0-2683"	1563216	["PROTEIN-NRIP"]	["TU0-3623"]
"BS00338"	3737238	["CPLX0-226"]	["TU00137"]
"BS467"	4199921	["CPLX0-7705"]	["TU486"]
"BS0-7925"	1103410	["PC00027"]	["TU00392", "TU0-45257"]
"BS0-7777"	3790264	["CPLX0-7756"]	["TU0-13999"]
"BS0-7250"	1330724	["CPLX0-7705"]	["TU0-2501", "TU0-2504"]
"BS0-7806"	1492386	["CPLX0-226"]	["TU0-14627"]
"BS00629"	3600918	["MONOMER0-160"]	["TU00084", "TU00427"]
"BS0-8975"	4471002	["PD00353"]	["TU0-14169"]
"BS0-2430"	2313170	["PD00353"]	["TU00049", "TU0-45164", "TU00476", "TU00477", "TU0-2644"]
"BS00714"	848126	["CPLX0-8566"]	["TU00172"]
"BS0-7500"	2352617	["CPLX0-7705"]	["TU00216", "TU00030"]
"BS330"	2312766	["MONOMER0-155"]	["TU00049"]
"BS0-2557"	4207762	["CPLX0-7705"]	["TU0-1186", "TU0-45277"]
"BS0-3352"	2832352	["EG12108-MONOMER"]	["TU0-4441", "TU0-14258"]
"BS0-8943"	1492330	["CPLX0-226"]	["TU0-13256"]
"BS0-7115"	461722	["CPLX0-7748"]	["TU0-6622"]
"BS00005"	70168	["CPLX0-226"]	["TU00214", "TU00003"]
"BS0-1145"	1842227	["G7072-MONOMER"]	["TU0-1201"]
"BS00573"	954872	["CPLX0-7797"]	["TU00379"]
"BS0-6381"	532337	["CPLX0-8071"]	["TU0-7601", "TU0-7602"]
"BS0-8144"		["CPLX0-7669"]	["TU0-13935"]
"BS0-7547"	1279741	["CPLX0-7705"]	["TU00044"]
"BS0-1123"	963592	["PC00027"]	["TU0-45280", "TU00175"]
"BS0-7984"	2691392	["PC00027"]	["TU0-13666"]
"BS0-10838"	4118545	["CPLX0-7639"]	["EG11878", "TU0-198704"]
"BS00399"	4518296	["CPLX0-7639"]	["TU00460"]
"BS0-7518"	940790	["CPLX0-7705"]	["TU00019"]
"BS0-7309"	1862692	["PC00061"]	["TU0-4905", "TU0-4904", "TU0-4906", "TU0-4907", "TU0-45263"]
"BS0-8965"	2782949	["EG12386-MONOMER"]	["TU0-13700"]
"BS0-8653"	84070	["CPLX0-8563"]	["TU0-12807"]
"BS0-7221"	1842276	["CPLX0-226"]	["TU0-1201"]
"BS00214"	638877	["PD00214"]	["TU0-12995", "TU00074"]
"BS0-8272"	937284	["PHOSPHO-RCSB"]	["TU0-13079"]
"BS0-1061"	1277918	["CPLX0-6"]	["TU00156"]
"BS00621"		["PD00288"]	["TU00136"]
"BS0-3924"	4554412	["EG20249-MONOMER"]	["TU0-5041"]
"BS125"	34176	["CPLX0-226"]	["TU141"]
"BS0-3470"	890836	["PD00406"]	["TU0-2101"]
"BS0-8039"	2089744	["CPLX0-7929"]	["TU0-13493"]
"BS0-10661"	2473511	["G7518-MONOMER"]	["TU0-13604", "TU0-13603"]
"BS782"	931111	["PHOSPHO-NARL"]	["TU00254"]
"BS0-8755"	890769	["PD00214"]	["TU721"]
"BS0-8639"	4531994	["CPLX0-8563"]	["TU0-14193"]
"BS0-8264"	4035166	["MONOMER0-155"]	["TU0-45165", "TU0-1181"]
"BS481"	3562384	["PD03576"]	["TU00031"]
"BS0-8803"		["G6761-MONOMER"]	["TU787"]
"BS0-1124"	963542	["PC00027"]	["TU0-45280", "TU00175"]
"BS0-8016"	3667728	["EG12243-MONOMER"]	["TU0-45268", "TU586"]
"BS0-7969"	4153236	["PC00061"]	["TU0-6510"]
"BS0-8226"	3906846	["PD00519"]	["TU0-4802", "TU0-42515"]
"BS0-3784"	3577644	["MONOMER0-1301"]	["TU0-42512", "TU00228"]
"BS00025"	785553	["MONOMER0-163"]	["TU00009"]
"BS0-5723"	2352104	["PD03576"]	["TU00216"]
"BS443"	1237534	["PD00353"]	["TU461", "TU462", "TU00255"]
"BS0-6463"	4605779	["CPLX0-7639"]	["TU0-7701", "TU0-8630"]
"BS00716"	2685695	["CPLX0-7752"]	["TU00192"]
"BS0-8405"	3157500	["CPLX0-7916"]	["TU0-13825"]
"BS0-8740"	3634664	["EG11544-MONOMER"]	["TU0-8586"]
"BS00300"	3927020	["CPLX0-7733"]	["TU0-14263", "TU00113", "TU00112", "TU0-14262"]
"BS0-2264"	3039773	["PD00406"]	["TU0-3202"]
"BS00651"	1901853	["PD00266"]	["TU00196"]
"BS-7066"	4215261	["CPLX0-7605"]	["TU00001"]
"BS0-7583"	1754637	["PHOSPHO-NARL"]	["TU0-14675"]
"BS0-2502"	1832122	["CPLX0-228"]	["TU0-1003"]
"BS447"	1795768	["PC00027"]	["TU00174"]
"BS0-8947"	4531728	["CPLX0-226"]	["TU0-14193"]
"BS0-8693"	1447312	["MONOMER0-2741"]	["TU0-42548"]
"BS0-8996"	1103369	["MONOMER0-4276"]	["TU00392", "TU0-45257"]
"BS00506"	4100715	["PD00406"]	["TU00064"]
"BS0-8215"		["G6165-MONOMER"]	["TU0-12879"]
"BS0-8912"	3418280	["G7072-MONOMER"]	["TU0-13907"]
"BS62"	3772012	["CPLX0-226"]	["TU00193"]
"BS-7050"	1130939	["CPLX0-3930"]	["TU00272"]
"BS0-8149"		["PHOSPHO-CREB"]	["TU0-8301"]
"BS0-2483"	1832277	["PROTEIN-NRIP"]	["TU0-1003"]
"BS0-8021"	3653854	["EG12242-MONOMER"]	["TU00096"]
"BS0-4642"	4058247	["PROTEIN-NRIP"]	["TU00027", "TU0-5903", "TU0-5901", "TU00029"]
"BS158"	4341648	["PD00208"]	["TU00040", "TU00131"]
"BS00291"		["PHOSPHO-ARCA"]	["TU00104", "TU0-42499"]
"BS0-8827"	4335382	["G7072-MONOMER"]	["TU0-14345"]
"BS191"	4542928	["PD00353"]	["TU182"]
"BS0-7815"	2691528	["MONOMER0-4147"]	["TU0-13666"]
"BS0-2721"	3613616	["CPLX0-7707"]	["TU00308"]
"BS00296"	1195023	["PHOSPHO-ARCA"]	["TU00107"]
"BS0-7895"	2344741	["MONOMER0-160"]	["TU00047"]
"BS0-6803"	4012822	["CPLX0-7752"]	["TU0-8223", "TU0-8224", "TU0-8221"]
"BS0-7786"	1734296	["CPLX0-7756"]	["TU0-13359"]
"BS00577"	954746	["PHOSPHO-NARL"]	["TU00377", "TU00379"]
"BS0-7836"	3068880	["MONOMER0-155"]	["TU0-13799"]
"BS0-8928"	1357705	["G7072-MONOMER"]	["TU0-13207"]
"BS00766"	3756648	["CPLX0-7705"]	["TU00138"]
"BS00093"	2352564	["PD03576"]	["TU00216", "TU00030"]
"BS0-3421"	4360285	["PHOSPHO-ARCA"]	["TU00467"]
"BS0-7734"	1657989	["PHOSPHO-NARL"]	["TU0-5481", "TU0-45246"]
"BS0-6975"	954513	["PHOSPHO-NARL"]	["TU00377", "TU00379"]
"BS0-2"	2832370	["PHOSPHO-NARP"]	["TU0-4441"]
"BS0-7331"	3648470	["CPLX0-7734"]	["TU00239"]
"BS0-7667"	3088148	["MONOMER-53"]	["TU0-7081"]
"BS0-7646"	3178022	["PD04418"]	["TU0-14704", "TU0-13838"]
"BS0-3001"	2788858	["CPLX0-226"]	["TU0-4001"]
"BS0-1283"	2001872	["CPLX0-3930"]	["TU00415"]
"BS00535"		["PD00353"]	["TU00223"]
"BS0-8933"	2788895	["EG12386-MONOMER"]	["TU0-4001"]
"BS0-8970"	1217385	["EG12386-MONOMER"]	["TU0-13163"]
"BS0-7163"	3708032	["CPLX0-7797"]	["TU00262"]
"BS0-8728"	1420302	["G6680-MONOMER"]	["TU0-13231"]
"BS0-8770"	3348395	["PD00406"]	["TU0-7781"]
"BS0-941"	2344592	["CPLX0-7669"]	["TU00047"]
"BS-7063"	4215298	["CPLX0-7605"]	["TU00001"]
"BS0-7162"	3667596	["CPLX0-7797"]	["TU0-45268", "TU586"]
"BS0-7844"	497976	["PD00214"]	["TU0-12951"]
"BS00661"	432252	["PD01196"]	["TU00449"]
"BS0-8732"	1420220	["G6680-MONOMER"]	["TU0-13231"]
"BS0-3502"	1942624	["CPLX0-7680"]	["TU0-4642", "TU0-4604"]
"BS00279"		["PD00967"]	["TU00097", "TU0-45265"]
"BS0-5101"	4246672	["MONOMER0-158"]	["TU00038", "TU00123"]
"BS0-4381"	1978385	["PC00084"]	["TU00136"]
"BS0-8275"	4635372	["PD00406"]	["TU0-7804"]
"BS0-2542"	4035148	["CPLX0-7705"]	["TU0-45165", "TU0-1181"]
"BS0-8129"	1103395	["CPLX0-7748"]	["TU00390", "TU0-45224"]
"BS0-8411"	2913825	["EG10442-MONOMER"]	["TU521"]
"BS0-8390"	1440882	["PD00406"]	["TU0-42540", "TU0-8699"]
"BS0-7756"	348518	["EG10087-MONOMER"]	["TU0-7221"]
"BS00779"	1097751	["CPLX0-7705"]	["TU00510"]
"BS0-4622"	4341692	["CPLX0-226"]	["TU00040", "TU00131"]
"BS0-7032"	4351725	["PHOSPHO-NARL"]	["TU0-8347"]
"BS0-7356"	4579926	["PC00010"]	["TU0-8264"]
"BS0-7377"	2054998	["PHOSPHO-PHOB"]	["TU0-6422"]
"BS0-6542"	883540	["PHOSPHO-PHOP"]	["TU0-7822"]
"BS00392"	4215236	["PC00061"]	["TU00001"]
"BS0-4903"	957461	["PD00353"]	["TU00357", "TU0-5964"]
"BS0-7458"	480972	["EG11088-MONOMER"]	["TU0-12943"]
"BS0-8353"	1880840	["MONOMER0-155"]	["TU0-42526"]
"BS0-8034"		["PD00353"]	["TU0-6404"]
"BS0-6947"	4223659	["CPLX0-7639"]	["TU00042"]
"BS00484"		["PHOSPHO-PHOB"]	["TU00201"]
"BS0-9019"	2884365	["EG11554-MONOMER"]	["TU0-13725"]
"BS0-1321"	3683580	["CPLX0-226"]	["TU0-1461"]
"BS0-6061"	2512766	["CPLX0-7639"]	["TU0-7321"]
"BS0-7999"		["PD00288"]	["TU0-14719"]
"BS0-24"	1230738	["PC00010"]	["TU00180"]
"BS0-7990"		["EG11966-MONOMER"]	["TU00182", "TU0-45182"]
"BS0-10775"		["MONOMER0-46"]	["TU0-1186"]
"BS0-7717"	1212260	["PHOSPHO-ARCA"]	["TU0-13156"]
"BS0-7488"	622226	["CPLX0-7639"]	["TU0-6042", "TU00165"]
"BS0-8038"	2089732	["CPLX0-3781"]	["TU0-13493"]
"BS0-8589"	2710392	["PHOSPHO-RCSB"]	["TU0-42638", "TU0-45282"]
"BS0-7029"	4368499	["PHOSPHO-NARL"]	["TU00160", "TU0-6021"]
"BS0-7217"	403640	["PD01379"]	["TU0-8872"]
"BS0-2202"	511436	["CPLX0-7708"]	["TU0-3122"]
"BS0-7316"	3485861	["CPLX0-7705"]	["TU00119", "TU0-14398", "TU0-14396"]
"BS0-8869"	641907	["G7072-MONOMER"]	["G6334", "TU0-14246"]
"BS0-4341"	3318394	["CPLX0-226"]	["TU0-8476", "TU0-5501", "TU341"]
"BS0-6964"	121656	["CPLX0-226"]	["TU0-45222", "TU00522"]
"BS0-7430"	1764564	["G7326-MONOMER"]	["TU0-2621"]
"BS0-7757"	348508	["EG10087-MONOMER"]	["TU0-7221"]
"BS0-8864"	384985	["G7072-MONOMER"]	["G6217", "TU0-4401"]
"BS0-8929"	1655698	["G7072-MONOMER"]	["G6841", "TU0-13334"]
"BS0-7792"	229161	["CPLX0-7756"]	["TU0-12839"]
"BS00645"	3640079	["PD01520"]	["TU00431"]
"BS0-8726"	1420328	["G6680-MONOMER"]	["TU0-13231"]
"BS0-8613"	1673540	["PD00288"]	["TU0-13343"]
"BS117"	1277884	["CPLX0-7797"]	["EG10642", "TU00156"]
"BS0-8279"	1103434	["PHOSPHO-BASR"]	["TU00392", "TU0-45257"]
"BS507"	3950201	["PC00027"]	["TU525", "TU0-42517", "TU0-42516", "TU524"]
"BS00529"	2850500	["PC00027"]	["TU00153", "TU0-8344", "TU00154"]
"BS0-9015"	3674592	["PHOSPHO-ARCA"]	["TU0-13968"]
"BS0-8225"	2884299	["PD00519"]	["TU0-13725"]
"BS0-8663"	3172462	["PD00365"]	["TU0-13835"]
"BS0-8972"	1747140	["EG12386-MONOMER"]	["TU0-13362"]
"BS804"	4360138	["PD00288"]	["TU00467"]
"BS0-7910"	2850546	["MONOMER0-183"]	["TU00153"]
"BS0-8419"	2001830	["PD01379"]	["TU00415"]
"BS0-8615"	1673492	["PD00288"]	["TU0-13343"]
"BS0-10835"	1081287	["CPLX0-7639"]	["TU0-13116"]
"BS0-1522"	1367939	["EG12344-MONOMER", "CPLX0-981"]	["TU00326", "TU0-1802"]
"BS0-8919"	3896701	["G7072-MONOMER"]	["TU0-14025"]
"BS00124"	4214236	["CPLX0-7796"]	["TU00041"]
"BS0-7019"		["CPLX0-7797"]	["TU00202", "TU0-14692", "TU0-45214", "TU0-14693", "TU0-45216", "TU0-45215"]
"BS00707"	710723	["CPLX0-7639"]	["TU0-1283", "TU00121"]
"BS0-7820"	3730832	["CPLX-172"]	["TU67"]
"BS0-7156"	4133716	["CPLX0-7797"]	["TU00034"]
"BS0-7005"	3737309	["PHOSPHO-PHOP"]	["TU00137"]
"BS0-7715"	1212106	["PHOSPHO-ARCA"]	["TU0-13156"]
"BS0-8324"		["PHOSPHO-PHOB"]	["TU0-8723"]
"BS00711"	3050766	["CPLX-123"]	["TU00170"]
"BS0-8160"	2248622	["CPLX0-7669"]	["TU0-6404"]
"BS0-8992"	2887279	["CPLX0-226"]	["TU0-13726"]
"BS0-5941"	792142	["PD00261", "MONOMER-53"]	["TU0-42583", "TU00025", "TU0-45177", "TU0-42580", "TU0-42578", "TU0-42581", "TU0-42584", "TU0-42582", "TU00026", "TU0-45176", "TU0-45178", "TU0-45179"]
"BS0-7918"	1103485	["CPLX0-7748"]	["TU00392", "TU0-45257"]
"BS0-8742"	3656782	["EG11544-MONOMER"]	["TU0-45242", "TU00282"]
"BS0-6382"	533887	["CPLX0-8071"]	["TU0-7603"]
"BS0-7348"	4287550	["CPLX0-7756"]	["TU00199"]
"BS00451"	4114558	["PD00365"]	["TU00188"]
"BS0-8115"	4595816	["EG20249-MONOMER"]	["TU0-14211", "TU0-8628"]
"BS0-3729"	1157747	["CPLX0-7705"]	["TU0-1141", "TU0-1142"]
"BS-7110"	990622	["CPLX0-226"]	["TU00195"]
"BS0-8951"	3432347	["EG12386-MONOMER"]	["TU0-14274"]
"BS755"	1668662	["CPLX0-226"]	["TU0-45193", "TU789", "TU790"]
"BS0-7281"	3247501	["CPLX0-7748"]	["TU0-14286"]
"BS00457"	4341844	["MONOMER0-161"]	["TU00040", "TU00131"]
"BS0-2841"	4330326	["CPLX0-7705"]	["TU0-3882"]
"BS0-2083"	2405570	["CPLX0-7705"]	["TU00448"]
"BS0-7799"	3492478	["CPLX0-7740"]	["TU00466", "TU00465", "TU00464"]
"BS00619"	765944	["PC00103"]	["TU00408", "TU0-4482"]
"BS0-8140"	1842228	["CPLX0-7669"]	["TU0-1201"]
"BS00647"	3639987	["PD01520"]	["TU00431"]
"BS0-8011"	1572282	["EG12243-MONOMER"]	["TU0-45231", "TU369"]
"BS0-7960"		["MONOMER0-155"]	["TU0-13984"]
"BS0-6561"	703812	["CPLX0-226"]	["TU00043", "TU0-4421"]
"BS0-5681"		["CPLX0-7797"]	["TU00523"]
